t_ns,attempts_total,attempts_per_s
125166918848878,384572,384572
125167918849520,793781,409209
125168918849443,1196967,403186
125169918848865,1604950,407983
125170918848909,1983303,378353
125171918850010,2309988,326685
125172918850872,2693837,383849
125173918850651,3102622,408785
125174918849451,3511210,408588
125175918850866,3918540,407330
125176918850759,4324579,406039
125177918849080,4732310,407731
125178918849089,5128463,396153
125179918850264,5539975,411512
125180918850251,5943134,403159
125181918849160,6354462,411328
125182918848868,6735839,381377
125183918852027,7106184,370345
125184918849711,7515229,409045
