t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125166413098498,183992,0000311d7547d99e968e49e4fdf15fa0345e552ae92f6119664779b54c1c409e,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125166480615278,430115,00007f377efdb21a12603e9c2dbd50a633981bdf81d830af4c340edc2a689ad2,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125166644709005,507739,00003df816b3fee81ae7f77bfdfeed1129591d149f8dade48c09d3e4c21e26c5,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125166786754073,616009,000074d3d2362d58113d039c8bd7706e62966cee111c4232dd57f82238d9203e,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125167722523982,629456,00005c2ddfebffaf15bf8805093ff4e5429088e11656591495a51e87770d42d6,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125168045363142,874871,0000714e7779a3d3e692584d12f1a1db73ac1db83333269ba9f751fc3e7d03bd,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125168108588598,882116,00001a4046b3c07f9733b8887c57802f0dfe1c62a1c85affe1e383160b81230a,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125168184595583,913919,000040c873280beb24117062fa61b996ff973efe31a2caac653193cce9a363ac,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125168193357205,1180330,00007249b2e0e7b14d91d78e466c76610791d7538b76f742a596e9e965641e54,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
125169069651299,1341118,00005e66637686fc73843e1be70041a10023191df5e097fc8eb472a51f84106c,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""phase"", ""seed"": 7}}"
