t_ns,delta_s
125725438033610,0.6000000000000001
125725638033610,0.2
125725838033610,0.2
125726038033610,0.2
125726638033610,0.6000000000000001
125726638033611,1e-09
125726638033612,1e-09
125727238033610,0.599999998
125727638033610,0.4
125727638033611,1e-09
125727638033612,1e-09
125727838033610,0.199999998
125728038033610,0.2
125728238033610,0.2
125728238033611,1e-09
125728438033610,0.199999999
125728638033610,0.2
125729238033610,0.6000000000000001
125729238033611,1e-09
125729238033612,1e-09
125729638033610,0.399999998
125730638033610,1.0
125731038033610,0.4
125731438033610,0.4
125731438033611,1e-09
125731438033612,1e-09
125731438033613,1e-09
125731638033610,0.199999997
125732438033610,0.8
125732438033611,1e-09
125732638033610,0.199999999
125732838033610,0.2
125733238033610,0.4
125733838033610,0.6000000000000001
125733838033611,1e-09
125733838033612,1e-09
125734038033610,0.199999998
125734238033610,0.2
125734438033610,0.2
125734838033610,0.4
125734838033611,1e-09
125735038033610,0.199999999
125735238033610,0.2
125736038033610,0.8
125736238033610,0.2
125736638033610,0.4
125736638033611,1e-09
125736838033610,0.199999999
125737038033610,0.2
125737238033610,0.2
125737238033611,1e-09
125737838033610,0.599999999
125737838033611,1e-09
125738238033610,0.39999999900000005
125738238033611,1e-09
125738438033610,0.199999999
125738638033610,0.2
125739238033610,0.6000000000000001
125739638033610,0.4
125740038033610,0.4
125740038033611,1e-09
125740038033612,1e-09
125740638033610,0.599999998
125741038033610,0.4
125741238033610,0.2
125741438033610,0.2
125743038033610,1.6
125744038033610,1.0
