t_ns,attempts_total,attempts_per_s
125745353814304,410851,410851
125746353931329,807755,396904
125747353814527,1217338,409583
125748353814388,1633751,416413
125749353814792,2057570,423819
125750353814955,2486047,428477
125751353815532,2912654,426607
125752353815097,3322890,410236
125753353815136,3733957,411067
125754353815015,4154765,420808
125755353813384,4580226,425461
125756353814727,5009946,429720
125757353813340,5419119,409173
125758353825940,5823489,404370
125759353814294,6226245,402756
125760353815246,6639445,413200
125761353813403,7060384,420939
125762353815639,7486850,426466
125763353814031,7898665,411815
