t_ns,delta_s
125744835360929,0.206451608
125745041812537,0.206451608
125745248264145,0.206451608
125745248264146,1e-09
125745661167376,0.41290323
125745867618984,0.206451608
125746074070592,0.206451608
125746899877051,0.825806459
125747519231888,0.619354837
125747519231889,1e-09
125747519231890,1e-09
125747725683498,0.206451608
125747932135106,0.206451608
125748138586714,0.206451608
125748345038322,0.206451608
125748551489930,0.206451608
125748757941538,0.206451608
125748757941539,1e-09
125749170844769,0.41290323
125749377296377,0.206451608
125749377296378,1e-09
125749377296379,1e-09
125749377296380,1e-09
125749583747988,0.206451608
125749996651218,0.41290323
125750203102826,0.206451608
125750616006056,0.41290323
125751648264134,1.0322580780000001
125751854715742,0.206451608
125752474070579,0.619354837
125753712780274,1.238709695
125753919231882,0.206451608
125753919231883,1e-09
125754125683491,0.206451608
125754745038328,0.619354837
125755570844787,0.825806459
125756190199624,0.619354837
125756603102854,0.41290323
125756809554462,0.206451608
125757016006070,0.206451608
125757222457678,0.206451608
125757841812515,0.619354837
125758254715745,0.41290323
125758667618975,0.41290323
125758667618976,1e-09
125758874070584,0.206451608
125759906328662,1.0322580780000001
125760319231892,0.41290323
125760319231893,1e-09
125760319231894,1e-09
125760938586731,0.619354837
125761764393190,0.825806459
125762177296420,0.41290323
125762796651257,0.619354837
125762796651258,1e-09
125762796651259,1e-09
125763003102867,0.206451608
125763209554475,0.206451608
125763416006083,0.206451608
125763828909313,0.41290323
