t_ns,delta_s
125725238033614,0.400000004
125725238033615,1e-09
125725238033616,1e-09
125725438033611,0.199999995
125727038033623,1.6000000120000002
125727238033618,0.199999995
125727438033613,0.199999995
125727838033617,0.400000004
125728838033630,1.000000013
125729038033625,0.199999995
125729038033626,1e-09
125729038033627,1e-09
125729238033622,0.199999995
125729438033617,0.199999995
125730038033616,0.599999999
125730038033617,1e-09
125730438033621,0.400000004
125730838033625,0.400000004
125731438033624,0.599999999
125731438033625,1e-09
125731838033629,0.400000004
125731838033630,1e-09
125732238033634,0.400000004
125732238033635,1e-09
125732438033630,0.199999995
125732838033634,0.400000004
125732838033635,1e-09
125733038033630,0.199999995
125733638033629,0.599999999
125733838033624,0.199999995
125734438033623,0.599999999
125734638033618,0.199999995
125735038033622,0.400000004
125735438033626,0.400000004
125735438033627,1e-09
125735838033631,0.400000004
125736038033626,0.199999995
125736038033627,1e-09
125736038033628,1e-09
125736638033627,0.599999999
125736838033622,0.199999995
125737438033621,0.599999999
125737638033616,0.199999995
125737638033617,1e-09
125737638033618,1e-09
125738438033625,0.8000000070000001
125739238033632,0.8000000070000001
125739438033627,0.199999995
125740038033626,0.599999999
125740238033621,0.199999995
125740438033616,0.199999995
125740638033611,0.199999995
125740838033606,0.199999995
125740838033607,1e-09
125741038033602,0.199999995
125741238033597,0.199999995
125742238033610,1.000000013
125742238033611,1e-09
125742238033612,1e-09
125742238033613,1e-09
125742638033617,0.400000004
125742838033612,0.199999995
125743038033607,0.199999995
125743038033608,1e-09
125743038033609,1e-09
125743238033604,0.199999995
125743438033599,0.199999995
125744038033598,0.599999999
