window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125724838033610,125724957090527,2.8122471698858456,0.5479144523973445,0.4713541666666667,134.38950380346233,0.0,0.0,0.0,0.0,0.0,2.4
1,125724838033611,125724957090533,2.812247035780512,0.5732495794625462,0.47317708333333336,134.38949815954422,0.0,0.0,0.0,0.0,0.0,2.4
2,125724838033616,125724957090906,2.812237165684333,0.5999162461292129,0.471875,134.3890827684722,0.0,0.0,0.0,0.0,0.0,2.4
3,125724838034712,125724957093334,2.812201441547803,0.5999162461292129,0.4708333333333333,134.38757925486487,0.0,0.0,0.0,0.0,0.0,2.4
4,125724920442984,125724957093335,3.5267751414551505,0.5479144523973445,0.47630208333333335,436.55789271977227,0.0,0.0,0.0,0.0,0.0,2.4
5,125724920545140,125724958686802,3.3808730070440416,0.5212477857306779,0.4765625,419.4887994130932,0.0,0.0,0.0,0.0,0.0,2.4
6,125724920545141,125724958686813,3.380872037558185,0.5732495794625462,0.4786458333333333,419.488689431339,0.0,0.0,0.0,0.0,0.0,2.4
7,125724920545142,125724958686814,3.3808720375581855,0.5732495794625462,0.4856770833333333,419.488689431339,0.0,0.0,0.0,0.0,0.0,2.4
8,125724920545143,125724958686815,3.380872037558186,0.5732495794625462,0.48463541666666665,419.488689431339,0.0,0.0,0.0,0.0,0.0,2.4
9,125724921354417,125724958688191,3.4597210623983394,0.5732495794625462,0.48489583333333336,428.5663699576689,0.0,0.0,0.0,0.0,0.0,2.4
10,125724921815616,125724958725020,3.5026823219212067,0.5732495794625462,0.48046875,433.49385972203726,0.0,0.0,0.0,0.0,0.0,2.4
11,125724955382929,125725520040508,3.848443720962947,0.5732495794625462,0.4825520833333333,28.335757094300863,1.6666666666666665,17.029251454098652,35.55898820557054,1.6666666666666665,1.0,0.7333333333333334
12,125724956118449,125725520040509,3.853822536618162,0.5212477857306779,0.4828125,28.37271519401103,1.6666666666666665,17.029251454098652,35.55898820557054,1.6666666666666665,1.0,0.7333333333333334
13,125724957090525,125725547490661,3.6729307381918144,0.5479144523973445,0.4859375,27.10026476010161,1.6666666666666665,17.029251454098652,35.55898820557054,1.6666666666666665,1.0,0.7333333333333334
14,125724957090526,125725547490680,3.672930617318671,0.5999162461292129,0.4830729166666667,27.100263933874245,1.6666666666666665,17.029251454098652,35.55898820557054,1.6666666666666665,1.0,0.7333333333333334
15,125724957090527,125725547494566,3.6729045291253137,0.6480447857883704,0.48072916666666665,27.100085607646054,1.6666666666666665,17.029251454098652,35.55898820557054,1.6666666666666665,1.0,0.7333333333333334
16,125724957090533,125725547494569,3.6729045492705823,0.6480447857883704,0.4778645833333333,27.1000857453488,1.6666666666666665,17.029251454098652,35.55898820557054,1.6666666666666665,1.0,0.7333333333333334
