window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125647626024691,125657159986707,2.283812566856604,0.6477802513205262,0.46510416666666665,1.6782110074645382,0.10471204188481674,35.97001294460276,10.720540052898862,0.10471204188481674,1.0,2.2952879581151833
1,125648391976412,125659490700359,2.0494259067328637,0.678549482089757,0.45989583333333334,1.4416071682118756,0.18018018018018014,53.13931678461577,8.503797313061552,0.09009009009009009,1.9999999999999998,2.21981981981982
2,125648442278310,125663278633024,1.7105779606368838,0.6503258334775647,0.46328125,1.0784320211016492,0.13468013468013468,73.46764134235649,8.669600475515187,0.06734006734006734,2.0,2.2653198653198654
3,125654222086790,125663812657369,1.6455689134678828,0.6361665974410882,0.4635416666666667,1.6683053284686116,0.10416666666666666,13.922873439056545,9.518219808327226,0.10416666666666666,1.0,2.2958333333333334
4,125654289506389,125664648710309,1.5072712357690659,0.6053973666718574,0.46015625,1.544520227959756,3.4615384615384612,6.161059903336492,6.559079137892182,0.09615384615384626,35.99999999999996,1.0615384615384613
5,125654379097982,125664742602380,1.5063899017181661,0.6053973666718574,0.46145833333333336,1.5438793081506057,3.4615384615384612,5.8880676832726015,6.558020619103093,0.09615384615384626,35.99999999999996,1.0615384615384613
6,125654381535975,125664768404971,1.5014315245536158,0.6364011629520426,0.4588541666666667,1.5404064503135282,3.4615384615384612,5.8880676832726015,6.558020619103093,0.09615384615384626,35.99999999999996,1.0615384615384613
7,125654977262141,125665168071741,1.534044634110112,0.675756698697235,0.4630208333333333,1.5700420896883402,3.431372549019607,4.3611927519016245,6.139172324155897,0.19607843137254877,17.500000000000018,1.0313725490196073
8,125654997837413,125665739838531,1.4339895964043583,0.6364011629520426,0.4630208333333333,1.489480388639073,3.441860465116279,5.943373329864668,7.573027105047544,0.1860465116279073,18.499999999999968,1.041860465116279
9,125655161297228,125666161701314,1.3896747236705456,0.607829734380614,0.4640625,1.454492023648739,8.959276018099548,5.25167363537118,6.1646201057267564,0.18099547511312153,49.50000000000018,6.559276018099547
10,125655290053614,125666379083811,1.3738273859404995,0.6364011629520427,0.46380208333333334,1.442867384771718,7.2072072072072055,7.239264378601952,7.269207840425498,0.18018018018018012,40.00000000000001,4.807207207207206
11,125655415818447,125666593899015,1.3580674932900458,0.607829734380614,0.46119791666666665,1.4313727569475503,2.1428571428571423,5.910820102426699,6.652625328702673,0.08928571428571397,24.000000000000078,0.25714285714285756
12,125655448353457,125666765781871,1.3328771628654972,0.607829734380614,0.46067708333333335,1.4137487258331158,2.1145374449339203,7.934789662930455,7.762625555506865,0.17621145374449343,11.999999999999995,0.28546255506607965
13,125656312523430,125667248112317,1.3819639817357228,0.6364011629520426,0.4591145833333333,1.463112793040388,2.1004566210045663,11.163288808820184,9.308078256527924,0.182648401826484,11.500000000000002,0.2995433789954336
