window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125647626024691,125656586868051,1.2317275237071073,0.7093187128589878,0.46510416666666665,1.7855462211762174,0.1111111111111111,11.51404457625256,8.05876104209177,0.1111111111111111,1.0,2.2888888888888888
1,125648297953079,125656637192346,1.3467313291556986,0.7093187128589878,0.45989583333333334,1.9186402365639188,0.11976047904191617,11.346151827067036,7.42272188772112,0.11976047904191617,1.0,2.2802395209580837
2,125648301123805,125656887207015,1.289885455813358,0.7043281272686636,0.46328125,1.8634806591863906,9.651162790697674,13.117312368753197,4.736333444435459,0.23255813953488413,41.49999999999992,7.251162790697673
3,125649214863800,125657301559900,1.3598026099026177,0.7043281272686636,0.4635416666666667,1.9785583385531202,8.88888888888889,15.36621907554781,4.712730570068304,0.12345679012345734,71.99999999999969,6.488888888888889
4,125650789508951,125658030758695,1.4049355956362626,0.7043281272686636,0.46015625,2.2095633441254225,2.206896551724138,24.552661188441785,8.478791180668125,0.2758620689655169,8.000000000000009,0.193103448275862
5,125653368956728,125659821520449,1.1972191753007762,0.7280447857883704,0.46145833333333336,2.479634559505034,7.6923076923076925,43.88849014011127,7.29070266219578,0.1538461538461542,49.99999999999989,5.292307692307693
6,125653399723432,125659961060992,1.1652852906620514,0.7280447857883704,0.4588541666666667,2.438527183472633,2.7272727272727266,37.58563289609819,6.601836282485087,0.3030303030303032,8.999999999999993,0.3272727272727267
7,125654716381947,125661100368542,1.1502081305119902,0.7280447857883704,0.4630208333333333,2.506270926779726,7.8125,24.135579304208065,8.256494984461439,0.3125,25.0,5.4125
8,125654818361176,125662393616287,1.046235224917955,0.7013781191217037,0.4630208333333333,2.1121400884263895,7.763157894736842,16.258258876761495,7.546685090604256,0.13157894736842124,58.999999999999915,5.363157894736842
9,125655109607384,125664412937903,1.051702555132889,0.7013781191217037,0.4640625,1.7198142071082532,7.165775401069519,13.659102256484756,6.378831391733566,0.10695187165775444,66.99999999999973,4.765775401069519
10,125655649783518,125665617988440,1.0064619932153727,0.6913129524261908,0.46380208333333334,1.6051034389038015,1.6,13.554405209369154,6.605111104151806,0.20000000000000018,7.999999999999994,0.7999999999999998
11,125656220635607,125666787659236,0.9661424798138085,0.6480447857883704,0.46119791666666665,1.5141444328836182,1.6037735849056602,13.333256725158881,7.141418647051267,0.09433962264150941,17.000000000000004,0.7962264150943397
12,125656239063675,125667114693153,0.9141948419010907,0.6480447857883704,0.46067708333333335,1.4711792114990623,1.5596330275229355,14.478732058873733,8.458503624131907,0.1834862385321101,8.499999999999998,0.8403669724770644
13,125656482630869,125667248112316,0.9323200191395788,0.6747114524550372,0.4591145833333333,1.4862317192937706,1.574074074074074,13.576998194193818,7.70714463616593,0.18518518518518512,8.500000000000002,0.825925925925926
