seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
0,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0053525228001707,0.6514224081382849,8.252889328522542,2.444232238349885,1.201381126312884,25.297619047619058,2.776574735533277,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9395102984390352,0.6826080884821495,7.477797502903572,6.184476372207879,3.901516418669545,37.57142857142848,5.8631327773114545,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0053525228001707,0.6514224081382849,8.252889328522542,2.444232238349885,1.201381126312884,25.297619047619058,2.776574735533277,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9395102984390352,0.6826080884821495,7.477797502903572,6.184476372207879,3.901516418669545,37.57142857142848,5.8631327773114545,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.0053525342921101,0.6514224081382849,8.252889328522542,2.444232238349885,1.201381126312884,25.297619047619058,2.776574735533277,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.8604807506886892,0.6034246355067451,9.491921165162225,3.1823243274922346,1.2477213910871894,30.714285714285772,0.9939479530762871,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.0053525342921101,0.6514224081382849,8.252889328522542,2.444232238349885,1.201381126312884,25.297619047619058,2.776574735533277,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.8604807506886892,0.6034246355067451,9.491921165162225,3.1823243274922346,1.2477213910871894,30.714285714285772,0.9939479530762871,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,0.8371872607234703,0.6799368977850782,7.540418019597904,2.4794783722419513,0.3969013637261693,18.721428571428568,0.08158000536049315,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,1.1473465874864686,0.6986161699707466,7.099719039140416,2.4670846394984323,3.066129754756678,26.82142857142851,6.164889788573999,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
