t_ns,attempts_total,attempts_per_s
125676779148300,157948,157948
125677697814866,315723,157775
125678697814902,459843,144120
125679752044599,620446,160603
125680833036320,780431,159985
125681697815698,913754,133323
125682725037797,1045536,131782
125683806457129,1214965,169429
125684697815711,1367287,152322
125685697982408,1514776,147489
125686779044293,1675356,160580
125687697817234,1831361,156005
125688697815782,1972517,141156
125689752036760,2133323,160806
125690833053203,2298881,165558
125691697814734,2437106,138225
125692725172364,2589823,152717
125693806032475,2720962,131139
125694697816799,2870653,149691
