t_ns,delta_s
125773612732537,0.174369889
125773857413909,0.244681372
125773876772603,0.019358694000000003
125773893674869,0.016902266000000003
125773961289551,0.06761468200000001
125774106693925,0.145404374
125774163999906,0.057305981000000006
125774423050438,0.259050532
125774423050439,1e-09
125774577247396,0.15419695700000002
125774619789195,0.042541799000000005
125775052455170,0.43266597500000004
125775103916810,0.05146164
125775343855790,0.23993898000000002
125775362579447,0.018723657
125775465440066,0.102860619
125775892254939,0.42681487300000004
125775985912785,0.093657846
125776114426419,0.12851363400000002
125776128957221,0.014530802
125776419306725,0.29034950400000004
125776426439009,0.007132284
125776467179394,0.040740385000000004
125776791552297,0.32437290300000005
125776987242107,0.19568981000000002
125777003700669,0.016458562
125777022846771,0.019146102
125777075112073,0.05226530200000001
125777222191348,0.147079275
125777234290208,0.012098860000000001
125777296609875,0.062319667
125777396651062,0.100041187
125777527419364,0.130768302
125777584542486,0.057123122000000005
125778463943771,0.879401285
125779343345056,0.879401285
125780222746341,0.879401285
125781102147626,0.879401285
125781981548911,0.879401285
125782860950196,0.879401285
125783740351481,0.879401285
125784619752766,0.879401285
125785499154051,0.879401285
125786378555336,0.879401285
125787257956621,0.879401285
125788137357906,0.879401285
125789016759191,0.879401285
125789896160476,0.879401285
125789949796977,0.053636501
125790288803421,0.339006444
125790303914065,0.015110644000000001
125790353271644,0.049357579000000006
125790525700350,0.17242870600000001
125790971849764,0.446149414
125791141729614,0.16987985
125791357505838,0.21577622400000002
125791386768851,0.029263013
125791402318247,0.015549396000000002
125791440012111,0.037693864
125791522055889,0.08204377800000001
125791922137817,0.40008192800000003
125791940887534,0.018749717000000003
125792022389999,0.08150246500000001
125792155854240,0.133464241
125792189385534,0.033531294
125792307244308,0.11785877400000001
125792380197207,0.072952899
