window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125793196289799,125796658816454,1.1751145181623017,0.6265829127958796,0.46510416666666665,4.6209030555462975,0.2857142857142857,10.596578681431666,7.529195955881079,0.2857142857142857,1.0,2.1142857142857143
1,125793520324914,125796711897598,1.2859776309841295,0.5745811190640112,0.45989583333333334,5.013202450381669,0.3125,12.34509282635943,8.541895307852927,0.3125,1.0,2.0875
2,125793736145510,125796753011763,1.3781299377170895,0.5745811190640112,0.46328125,5.30351651621594,0.32786885245901637,15.384634393221734,10.739705499347336,0.32786885245901637,1.0,2.0721311475409836
3,125793888692773,125796885157275,1.3890413126548706,0.5745811190640112,0.4635416666666667,5.339626079107811,0.3333333333333333,17.787420751320326,11.806834523634414,0.3333333333333333,1.0,2.0666666666666664
4,125793920427615,125797401132707,1.2265305688058241,0.5745811190640112,0.46015625,4.596769785746617,0.2857142857142857,24.666443927419433,11.908153581942004,0.2857142857142857,1.0,2.1142857142857143
5,125794333084320,125797425230653,1.3809957370472703,0.5479144523973445,0.46145833333333336,5.1743993578974,0.3225806451612903,27.60454339007032,13.186471374661812,0.3225806451612903,1.0,2.0774193548387094
6,125794524341546,125797500650907,1.4448069629436522,0.5479144523973445,0.4588541666666667,5.37578526266645,0.3333333333333333,27.580885635209217,13.235894563692787,1.0,0.3333333333333333,2.0666666666666664
7,125794781504483,125797504734329,1.5995630545833612,0.5113313414925645,0.4630208333333333,5.875376264512341,0.7272727272727273,25.88684547958085,13.153241658064584,1.0909090909090908,0.6666666666666667,1.6727272727272726
8,125795804252775,125797632536511,1.4252945882519845,0.5113313414925645,0.4630208333333333,8.751376870531871,1.081081081081081,22.660606933226994,5.957636992371641,0.5405405405405405,2.0,1.318918918918919
9,125796369843405,125797648609689,1.4593893937465858,0.5113313414925645,0.4640625,12.512059631375141,0.7692307692307692,17.44110881676208,11.545912868182356,0.7692307692307692,1.0,1.6307692307692307
10,125796393410734,125798333914647,1.5234256409022142,0.5399027700639932,0.46380208333333334,8.245280977178838,1.0256410256410255,23.591866341950055,9.769908066178564,0.5128205128205128,2.0,1.3743589743589744
11,125796446491878,125798408557925,1.5027222622364032,0.5670475490624235,0.46119791666666665,8.154669423317328,1.0,23.424947109051665,8.64175807907666,0.5,2.0,1.4
