seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
0,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9670335724540493,0.6192864578089908,6.440645211873308,3.661971830985915,2.656580788302513,12.150943396226413,4.686142322097378,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9187820328958449,0.6592075358190469,6.958414103337687,6.0655737704918025,3.478944871218223,20.02962962962964,4.023542001070091,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9670335724540493,0.6192864578089908,6.440645211873308,3.661971830985915,2.656580788302513,12.150943396226413,4.686142322097378,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9187820328958449,0.6592075358190469,6.958414103337687,6.0655737704918025,3.478944871218223,20.02962962962964,4.023542001070091,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9037511938035949,0.4913785305721703,8.596289462081414,3.243243243243243,2.0874008444042524,9.148113207547173,2.4972420018052355,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,1.063935946441132,0.6518667069103684,7.920684731029445,2.5,2.994780376217981,17.14074074074075,6.228270162439441,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9037511938035949,0.4913785305721703,8.596289462081414,3.243243243243243,2.0874008444042524,9.148113207547173,2.4972420018052355,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,1.063935946441132,0.6518667069103684,7.920684731029445,2.5,2.994780376217981,17.14074074074075,6.228270162439441,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,1.0694308105012753,0.6134350911648898,7.2363756704308235,4.235294117647059,3.423092296525547,15.073899371069178,6.601073345259392,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,0.863099119049329,0.68266701015964,7.160510760521007,6.373626373626373,3.693877133028113,22.06666666666666,5.261519302615192,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_metric,0.0,0.0,0.0,0.0,1.0694308105012753,0.6134350911648898,7.2363756704308235,4.235294117647059,3.423092296525547,15.073899371069178,6.601073345259392,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_metric,0.0,0.0,0.0,0.0,0.863099119049329,0.68266701015964,7.160510760521007,6.373626373626373,3.693877133028113,22.06666666666666,5.261519302615192,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_phase_delta,0.0,0.0,0.0,0.0,1.844125919519385,0.6926952728056698,6.971501501978925,0.8391608391608391,1.4768265182420155,3.023689727463314,2.4625850340136055,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_phase_delta,0.0,0.0,0.0,0.0,1.1883507646476879,0.661497061012154,7.277729306405096,4.09090909090909,3.3805736929965398,15.331481481481475,7.142985208426714,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_phase_metric,0.0,0.0,0.0,0.0,1.844125919519385,0.6926952728056698,6.971501501978925,0.8391608391608391,1.4768265182420155,3.023689727463314,2.4625850340136055,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_phase_metric,0.0,0.0,0.0,0.0,1.1883507646476879,0.661497061012154,7.277729306405096,4.09090909090909,3.3805736929965398,15.331481481481475,7.142985208426714,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_shuffle_delta,0.0,0.0,0.0,0.0,1.0399262678325247,0.6240497070786503,8.017425231661417,4.0,3.3412929761839743,18.125786163521994,5.813439434129089,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_shuffle_delta,0.0,0.0,0.0,0.0,0.9538201047124859,0.6789060216433311,6.854154814540992,6.456692913385827,4.012031901753796,20.711111111111098,5.16351968406763,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_shuffle_metric,0.0,0.0,0.0,0.0,1.0399262678325247,0.6240497070786503,8.017425231661417,4.0,3.3412929761839743,18.125786163521994,5.813439434129089,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_shuffle_metric,0.0,0.0,0.0,0.0,0.9538201047124859,0.6789060216433311,6.854154814540992,6.456692913385827,4.012031901753796,20.711111111111098,5.16351968406763,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
