window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125579553294987,125581494327264,0.9656244846523893,0.6364011629520426,0.4713541666666667,8.24303654791826,4.102564102564102,20.84700543870419,6.699284499961302,0.5128205128205128,8.0,1.7025641025641023
1,125579733114040,125581597493899,1.000148820996078,0.6364011629520426,0.47317708333333336,8.581942098742658,6.842105263157895,23.561456704135104,5.723867037949648,1.0526315789473681,6.500000000000002,4.442105263157895
2,125579982851841,125581935937072,1.0179422940694194,0.675756698697235,0.471875,8.192166806672248,6.5,18.896308417577597,6.243207384466718,1.0,6.5,4.1
3,125580002006661,125582031118360,0.9566392720020754,0.675756698697235,0.4708333333333333,7.885223868102098,3.9024390243902434,10.239227394939839,4.082844057676325,0.4878048780487805,7.999999999999999,1.5024390243902435
4,125580017975687,125582161813832,0.8758216480188522,0.6364011629520426,0.47630208333333335,7.463249983361034,8.372093023255815,15.513242101736726,5.822179064351922,0.4651162790697665,18.00000000000004,5.972093023255814
5,125580085152774,125582177573613,0.9180823022422538,0.6364011629520426,0.4765625,7.646645312348658,6.666666666666666,14.175272930686821,5.756514102328203,0.4761904761904763,13.999999999999996,4.266666666666666
6,125580234400741,125582473126264,0.8997346344076173,0.675756698697235,0.4786458333333333,7.146923477496798,2.2222222222222223,13.145136300567994,7.479269748918887,0.4444444444444442,5.000000000000003,0.1777777777777776
7,125580291937296,125582481825350,0.9399535927374666,0.675756698697235,0.4856770833333333,7.306309548917242,7.2727272727272725,10.61273703350298,6.013474785077361,0.45454545454545414,16.000000000000014,4.872727272727273
8,125580541191309,125582519965176,1.0362794361807162,0.6757566986972351,0.48463541666666665,8.085815295437191,7.0,10.730633807474915,6.589162545434161,0.5,14.0,4.6
9,125580541365773,125582843860696,0.9116301413968738,0.6747114524550369,0.48489583333333336,6.9489838349580575,7.23404255319149,21.471741103145174,7.9230248098976634,0.8510638297872344,8.499999999999996,4.834042553191489
10,125580690204489,125583040503243,0.8958321267284448,0.7013781191217037,0.48046875,6.807645186710591,7.083333333333333,24.748761406071004,6.575315832300848,0.4166666666666661,17.000000000000025,4.683333333333334
11,125580731579372,125583058011340,0.9148709131428132,0.7013781191217037,0.4825520833333333,6.877484585872059,5.957446808510638,22.185716518875566,6.1532298330781305,0.4255319148936163,14.000000000000023,3.557446808510638
12,125581167540590,125583076822466,0.9621001163658296,0.6747114524550369,0.4828125,8.380114115743064,8.717948717948717,13.163961030256784,5.606322668136929,0.5128205128205128,17.0,6.317948717948717
13,125581218551262,125583132784427,0.9579362980174064,0.6747114524550369,0.4859375,8.358438403714523,2.051282051282051,12.733498814702745,6.030858607701111,1.5384615384615383,1.3333333333333333,0.3487179487179488
14,125581474030766,125583277985489,0.9747031047637722,0.6480447857883704,0.4830729166666667,8.869402206166123,3.243243243243243,16.304140516868884,5.236767234144932,1.6216216216216215,2.0,0.8432432432432431
15,125581494327264,125583290502368,0.9830174450890469,0.6747114524550369,0.48072916666666665,8.907817486373533,3.3333333333333335,21.768807073542447,5.9659688391304595,0.5555555555555558,5.999999999999997,0.9333333333333336
16,125581597493899,125583353675024,1.0126828330912359,0.6747114524550369,0.4778645833333333,9.110677578885833,3.3333333333333335,24.252798193071367,7.415279067835324,1.1111111111111116,2.9999999999999987,0.9333333333333336
17,125581935937072,125583458180618,1.0004409823097764,0.6747114524550372,0.47552083333333334,10.510801666424014,5.161290322580645,16.84764023280091,6.361227084456305,1.290322580645162,3.999999999999998,2.761290322580645
18,125582031118360,125583588430625,0.9803009666393041,0.6646462857595241,0.4713541666666667,10.274111595724188,9.375,17.61911653851436,3.6007667399249104,1.25,7.5,6.975
19,125582161813832,125583645535662,1.032814219543968,0.6646462857595241,0.4703125,10.783692520046024,4.0,14.809956911540862,5.051627422865876,0.666666666666667,5.999999999999997,1.6
20,125582177573613,125584503123860,1.4084465212177102,0.6913129524261908,0.46875,6.8800921505094434,3.404255319148936,25.803025644860593,4.26046962893392,0.4255319148936172,7.9999999999999964,1.0042553191489363
21,125582473126264,125585360712058,1.4694761186702276,0.6646462857595241,0.46822916666666664,5.540960906943705,0.3448275862068965,23.309555628425574,9.997495313966024,0.3448275862068965,1.0,2.0551724137931036
22,125582481825350,125586218300256,1.3056205440621995,0.6279144523973446,0.46536458333333336,4.282110920725664,0.26666666666666666,20.644114494859643,10.318441655154476,0.26666666666666666,1.0,2.1333333333333333
23,125582519965176,125587075888454,1.1679679979811182,0.5846462857595243,0.46380208333333334,3.5119116419852934,0.21739130434782605,15.823686368867858,10.713239609073517,0.21739130434782605,1.0,2.1826086956521737
24,125582843860696,125587933476652,1.1275409104209078,0.5365177461003666,0.46197916666666666,3.143655658564585,9.411764705882351,10.941479756239865,15.676921651611906,0.39215686274509665,24.00000000000008,7.011764705882351
25,125583040503243,125588791064850,1.0499508632428425,0.48451595236849837,0.4674479166666667,2.782336942625506,7.068965517241379,11.253759405847575,21.44045540443685,0.3448275862068959,20.50000000000004,4.668965517241379
26,125583058011340,125589648653048,0.9249563715727808,0.42929315970081444,0.46979166666666666,2.427684694280759,3.4848484848484844,13.27725642241265,13.715360226750427,0.30303030303030276,11.500000000000009,1.0848484848484845
27,125583076822466,125590506241246,0.811810951009276,0.37131295242619083,0.46770833333333334,2.153600500091879,3.48993288590604,17.007768846305996,11.859042727153799,0.26845637583892623,12.999999999999996,1.0899328859060402
28,125583132784427,125591363829444,0.7156171302024533,0.3476537856152929,0.46458333333333335,1.9438601012331211,2.303030303030303,21.37675317820032,12.83961034973328,0.24242424242424265,9.499999999999991,0.0969696969696967
29,125583277985489,125592221417642,0.6429792780605386,0.31178770647005544,0.46796875,1.7890223491697126,2.346368715083799,24.271646627474926,13.345605457007819,0.22346368715083775,10.50000000000001,0.05363128491620106
30,125583290502368,125593079005840,0.5398530355510979,0.24732814838823347,0.46822916666666664,1.634570600681501,2.346938775510204,29.088604021172458,14.45736028134218,0.204081632653061,11.50000000000001,0.05306122448979611
31,125583353675024,125593936594038,0.4466256360982026,0.20778411900631868,0.46848958333333335,1.5118702107456192,3.490566037735849,34.06418510715398,16.123665912746944,0.18867924528301883,18.500000000000004,1.090566037735849
32,125583458180618,125594794182236,0.35614306419764674,0.13996856797724772,0.47239583333333335,1.4114324026378238,1.1453744493392068,39.700107808736654,17.432556448705764,0.08810572687224671,12.999999999999995,1.254625550660793
33,125583588430625,125595651770434,0.2569983106303185,0.07067186700428427,0.47552083333333334,1.3263325292439334,1.1570247933884297,48.05795410469841,17.233514724086408,0.16528925619834722,6.999999999999995,1.2429752066115702
34,125583645535662,125595707763571,0.25737901365125987,0.07067186700428427,0.47734375,1.3264547909977646,1.1570247933884297,48.216680062765505,16.907136583901156,0.16528925619834722,6.999999999999995,1.2429752066115702
35,125584503123860,125596047361320,0.30958928084237375,0.13996856797724772,0.47708333333333336,1.38597287654892,2.3376623376623376,42.63295528674892,16.158996689428207,0.17316017316017351,13.499999999999972,0.06233766233766236
36,125585360712058,125596062834811,0.428492795991487,0.20778411900631868,0.47604166666666664,1.4950305064960039,2.3255813953488373,37.40217577213003,15.53387796284072,0.18604651162790686,12.500000000000009,0.07441860465116257
37,125586218300256,125596115929570,0.5250961411386094,0.24732814838823347,0.47421875,1.6165487201433495,2.323232323232323,31.64849714658975,14.911290615138226,0.202020202020202,11.500000000000002,0.07676767676767682
38,125587075888454,125596294991041,0.5901841416778252,0.31178770647005544,0.47265625,1.7355268421203869,1.1891891891891893,26.53096467443595,14.55832638412554,0.21621621621621623,5.5,1.2108108108108107
39,125587933476652,125596827182343,0.6018483789630285,0.3743204522819596,0.47734375,1.799025125847286,2.359550561797753,24.56202283521073,14.120810691253515,0.11235955056179758,21.000000000000032,0.04044943820224711
40,125588791064850,125596998977259,0.6658782580689578,0.40804478578837045,0.4739583333333333,1.9493385409980681,2.303030303030303,24.16999360064028,14.35348649246369,0.24242424242424265,9.499999999999991,0.0969696969696967
41,125589648653048,125597216004945,0.7193838415986171,0.466024993062994,0.47239583333333335,2.1143459717187243,2.3684210526315788,20.134848789464964,13.28127196808936,0.1315789473684208,18.000000000000036,0.03157894736842115
42,125590506241246,125597245637622,0.8197442437168304,0.5212477857306779,0.46875,2.3740998610763415,2.3703703703703702,17.69898591983836,13.937795920946996,0.29629629629629584,8.000000000000012,0.029629629629629672
43,125591363829444,125597262067045,0.9300905629836983,0.5732495794625463,0.4744791666666667,2.7126747144413654,2.3728813559322033,17.887916419760955,10.493734302677797,0.3389830508474576,7.0,0.027118644067796627
44,125592221417642,125597300632288,1.0405311065848748,0.6213781191217038,0.4747395833333333,3.1500932949546385,2.352941176470588,18.747346534678808,7.872004697382948,0.3921568627450984,5.999999999999993,0.04705882352941204
45,125593079005840,125597385353154,1.1376065285076378,0.6646462857595241,0.4734375,3.7154457904460605,2.2988505747126435,16.16725552388174,6.088108080801615,0.2298850574712641,10.000000000000012,0.10114942528735638
46,125593936594038,125597782365210,1.1255146575732988,0.7013781191217037,0.4734375,4.16041394155003,2.5974025974025974,19.16048936787776,5.535610947581509,1.0389610389610389,2.5,0.19740259740259747
47,125594794182236,125597800070295,1.2034796776070242,0.7013781191217037,0.46796875,5.322886177379102,4.2622950819672125,21.02657239442488,5.152842139644303,0.32786885245901676,12.999999999999984,1.8622950819672126
48,125595651770434,125597876890385,1.076476536975942,0.6747114524550372,0.4627604166666667,7.1906235853978915,7.111111111111111,15.263798364899131,5.526331772164217,0.44444444444444464,15.999999999999993,4.71111111111111
49,125595707763571,125598010984129,1.0271767013664834,0.7013781191217037,0.46171875,6.946794541419685,7.23404255319149,19.06591466997086,5.365110272712583,0.8510638297872344,8.499999999999996,4.834042553191489
50,125596047361320,125598045933973,1.1374061415477326,0.7013781191217038,0.46119791666666665,8.005713465548956,2.0,11.640503802006402,3.0567878275220712,1.5,1.3333333333333333,0.3999999999999999
51,125596062834811,125598162207450,1.0585138309398927,0.7013781191217038,0.4578125,7.621324438914915,7.619047619047619,25.253212047463016,4.736382420899203,0.4761904761904763,15.999999999999996,5.219047619047618
52,125596115929570,125598237313653,1.0417673724438559,0.7013781191217038,0.4591145833333333,7.54224571034457,7.441860465116279,30.82562923258098,4.878619450989669,0.9302325581395348,8.000000000000002,5.0418604651162795
