t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
1766784440510651392,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.6247237999923527}"
1766784500482973184,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.7942148000001907}"
1766784523324061184,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 0.7695224999915808}"
1766784543082236928,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.6779963999288157}"
1766784563331794944,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 0.18817470001522452}"
1766784568217978112,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 0.8643543999642134}"
1766784582211813888,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.9596246000146493}"
1766784587121867008,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 0.8918171999976039}"
1766784603133872128,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 1.9632291999878362}"
1766784665802427648,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,lv06_silicon,"{""hw"": ""lv06"", ""rt"": 0.41442119993735105}"
