t_ns,nonce,hash_hex,backend,notes_json
1766785489622594048,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 0.04935940005816519, ""jid"": ""job_727177869""}"
1766785519136253952,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.4156591999344528, ""jid"": ""job_727206016""}"
1766785548520826624,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.2807147999992594, ""jid"": ""job_727235536""}"
1766785553359247360,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 0.8343585000839084, ""jid"": ""job_727240821""}"
1766785563465998336,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 0.06065839994698763, ""jid"": ""job_727251701""}"
1766785571344388608,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.8404383000452071, ""jid"": ""job_727257800""}"
1766785577285061888,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.9278431000420824, ""jid"": ""job_727263653""}"
1766785582802505472,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.4986952999606729, ""jid"": ""job_727269600""}"
1766785595920221440,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.0617540000239387, ""jid"": ""job_727283154""}"
1766785621363158272,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.3591081000631675, ""jid"": ""job_727308300""}"
1766785638849014528,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.406442099949345, ""jid"": ""job_727325738""}"
1766785644568967936,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.7136946999235079, ""jid"": ""job_727331151""}"
1766785648563575040,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.9900571999605745, ""jid"": ""job_727334869""}"
1766785688467760896,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.759814799996093, ""jid"": ""job_727375004""}"
1766785692164704512,0,0000000000000000000000000000000000000000000000000000000000000000,lv06_silicon,"{""rt"": 1.6881655999459326, ""jid"": ""job_727378772""}"
