seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
10,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0746761490297305,0.3575365674355229,17.142338570953275,5.0,4.341323569661688,88.96384039900254,5.012987012987011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.037801380071624,0.37463661522482455,17.245372316235546,5.0,4.178193681921616,84.7455696202532,5.012345679012344,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0545868933717544,0.3595651870071886,16.998445002714583,5.0,4.318183083505943,89.4370179948587,5.012345679012344,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.037280315452246,0.3646667133208762,17.16287798290893,5.0,3.914867906227865,87.44305555555562,5.012987012987011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0721625243898538,0.36189799531583106,17.04815083548506,5.0,4.138117872550326,90.11702127659596,5.012345679012344,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0130126535101651,0.3625825635118742,17.62268348983606,5.0,3.914798456288813,90.50000000000016,5.012987012987011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9950084674081493,0.35038513395066867,17.36626569041164,5.0,4.10661174889333,89.61126373626391,5.012987012987011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0391358197429563,0.35757795100174794,17.184068837564695,5.0,4.280005074878437,91.47593582887708,5.013404825737264,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0436664642809965,0.3513701869485086,17.669858040647572,5.0,4.4392480022633505,91.82954545454555,5.013698630136985,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0644574720298348,0.362114371493025,16.918258436654394,5.0,3.980819387765416,84.39924433249375,5.01312335958005,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0746761490297305,0.3575365674355229,17.142338570953275,5.0,4.341323569661688,88.96384039900254,5.012987012987011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.037801380071624,0.37463661522482455,17.245372316235546,5.0,4.178193681921616,84.7455696202532,5.012345679012344,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0545868933717544,0.3595651870071886,16.998445002714583,5.0,4.318183083505943,89.4370179948587,5.012345679012344,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
