seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
10,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0361683187146924,0.8000833057158665,13.759037451405918,3.698492462311558,0.003760778743413843,119.08762886597943,0.006168652270218011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0208044884609273,0.7831034750270522,13.88264170050034,3.6972972972972977,0.00445686540752447,102.17521367521375,0.006305918197881066,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.1271855171528058,0.8400806691976777,13.13920054549529,3.697857948139797,0.004169026528455263,116.13265306122453,0.006867767438869965,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0539822985415046,0.8150814947152766,13.495197981440622,3.698884758364312,0.0035169835751456486,133.09756097560967,0.005492153378029663,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9664088915800653,0.790764958245882,14.176049323682763,3.69811320754717,0.004632353394261031,112.32242990654224,0.0075896505767603095,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0477568901561207,0.7656272445618684,13.66392501021503,3.6972838843806586,0.004625403455841079,108.53508771929822,0.005715519618910037,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9012340719264048,0.7668898664271169,13.37151320053923,3.698492462311558,0.0038051760655397884,128.76506024096398,0.005961791008674222,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0636385772318953,0.7893569006162624,13.82720088275548,3.698630136986301,0.004074076438190194,104.96601941747561,0.0063277277391566855,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9965093353108663,0.7967244358967159,14.187532241061326,3.69794429135655,0.0036680541644704768,106.97807017543848,0.005246067971169666,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9959308394599343,0.8076391931874953,13.708990534539987,3.6980137764546024,0.004582420003652291,104.30241935483868,0.007653847457805174,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0361683187146924,0.8000833057158665,13.759037451405918,3.698492462311558,0.003760778743413843,119.08762886597943,0.006168652270218011,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0208044884609273,0.7831034750270522,13.88264170050034,3.6972972972972977,0.00445686540752447,102.17521367521375,0.006305918197881066,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
