t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125166413098498,183992,0000311d7547d99e968e49e4fdf15fa0345e552ae92f6119664779b54c1c409e,17,183993,cpu,"{""t_true_ns"": 125166413098498}"
125167029945343,430115,00007f377efdb21a12603e9c2dbd50a633981bdf81d830af4c340edc2a689ad2,17,246123,cpu,"{""t_true_ns"": 125167029945343}"
125167220584676,507739,00003df816b3fee81ae7f77bfdfeed1129591d149f8dade48c09d3e4c21e26c5,17,77624,cpu,"{""t_true_ns"": 125167220584676}"
125167484918827,616009,000074d3d2362d58113d039c8bd7706e62966cee111c4232dd57f82238d9203e,17,108270,cpu,"{""t_true_ns"": 125167484918827}"
125167518074491,629456,00005c2ddfebffaf15bf8805093ff4e5429088e11656591495a51e87770d42d6,17,13447,cpu,"{""t_true_ns"": 125167518074491}"
125168116595838,874871,0000714e7779a3d3e692584d12f1a1db73ac1db83333269ba9f751fc3e7d03bd,17,245415,cpu,"{""t_true_ns"": 125168116595838}"
125168134422095,882116,00001a4046b3c07f9733b8887c57802f0dfe1c62a1c85affe1e383160b81230a,17,7245,cpu,"{""t_true_ns"": 125168134422095}"
125168212958698,913919,000040c873280beb24117062fa61b996ff973efe31a2caac653193cce9a363ac,17,31803,cpu,"{""t_true_ns"": 125168212958698}"
125168878762860,1180330,00007249b2e0e7b14d91d78e466c76610791d7538b76f742a596e9e965641e54,17,266411,cpu,"{""t_true_ns"": 125168878762860}"
125169273339865,1341118,00005e66637686fc73843e1be70041a10023191df5e097fc8eb472a51f84106c,17,160788,cpu,"{""t_true_ns"": 125169273339865}"
125169307620845,1355509,000060ea8227d47ada6ed7a580a692b73f10cbfd35ed58d5af53abad1474ef99,17,14391,cpu,"{""t_true_ns"": 125169307620845}"
125169345464851,1370852,00003ee7a8463c6ec529b16a65030cbebd68c0c53a0c555822d910f329778e49,17,15343,cpu,"{""t_true_ns"": 125169345464851}"
125169459700027,1417197,0000443b9f2b78fb268bb7bde93141df6385804a8cb2a6c8de88630ca9d6087d,17,46345,cpu,"{""t_true_ns"": 125169459700027}"
125169756899399,1538880,0000305ba454fe7bc32f677d11f0ebf764bd1ae355fa5934d91e76338012b649,17,121683,cpu,"{""t_true_ns"": 125169756899399}"
125169781841718,1549215,00002589924538e7e818cc944b163e213b4f87acee15201c50d3fed713fcf8c9,17,10335,cpu,"{""t_true_ns"": 125169781841718}"
125169908812828,1600877,000070b4e3f040b698c732bf9c09c84dc417b62fc5e1a95b9a0014ba90370f01,17,51662,cpu,"{""t_true_ns"": 125169908812828}"
125170118119528,1686864,000035434d9d1d38ee55510e5ec58433766f9b795df23584ddb89605f0f9e974,17,85987,cpu,"{""t_true_ns"": 125170118119528}"
125170229594995,1732146,00007a6413504df4d132ebfd65b421043eed5fd5edc83c9d8fe3b544eecdbde1,17,45282,cpu,"{""t_true_ns"": 125170229594995}"
125170876796752,1966079,000027cffca64b84011072829449d09d147a93054e17aad6519ba64f24daf77f,17,233933,cpu,"{""t_true_ns"": 125170876796752}"
125170907745786,1978672,00003416e198a947b2ceecfa35e6f953ed3503e1414e573af48c1d9387863777,17,12593,cpu,"{""t_true_ns"": 125170907745786}"
125171015662374,2021626,0000005370f5005223d35d5c4f9b2fec0688ad701dc7a1a92dfe525623cef776,17,42954,cpu,"{""t_true_ns"": 125171015662374}"
125171379997735,2158197,00002f31b8972b32e3f1030a1ec66d15ea3f676682109f56203f3f7108fd1b4f,17,136571,cpu,"{""t_true_ns"": 125171379997735}"
125172447922491,2507337,000026ceb7a8bed12edfc4f736e21e9a0116304ebe265f0efa003283c230a685,17,349140,cpu,"{""t_true_ns"": 125172447922491}"
125172811202807,2650017,000017531c48ed2828853ea9ff5cb41d8c46df9c1262e83decc6a2a85940e77f,17,142680,cpu,"{""t_true_ns"": 125172811202807}"
125173258803925,2831713,000027229adecc59f23d0bd7875b920433288d5fc141cc35a0b17ddf01380633,17,181696,cpu,"{""t_true_ns"": 125173258803925}"
125173318659836,2856655,00001dc1e36691017f7bcae724d941106a0c840442923cd45411d34d73074631,17,24942,cpu,"{""t_true_ns"": 125173318659836}"
125173351568849,2870127,0000595d4e91067451cfacc5db5b3cb7f8c581ce30d54f1751d6d19d43aeb17f,17,13472,cpu,"{""t_true_ns"": 125173351568849}"
125173429478799,2902553,0000559019c7f88343572286ff407e06b659c80bdda6c5290fe0f9326f71cb9c,17,32426,cpu,"{""t_true_ns"": 125173429478799}"
125173601475107,2971792,00003ed0c58f5c5ffc3f83e86aea309d79120d1d487dfa9383c840d780572c9f,17,69239,cpu,"{""t_true_ns"": 125173601475107}"
125174402512445,3302889,00002ae8924f21a65cde95c9368b62e0bb49e9e3dc3bd7e768e91c4d6b5a777d,17,331097,cpu,"{""t_true_ns"": 125174402512445}"
125174439421087,3317788,000042c66ef657632f1d3c46092d98f49d4cee15dde7f46cf7109f3445fb1897,17,14899,cpu,"{""t_true_ns"": 125174439421087}"
125174595541270,3381169,00005e5aa338a4dfda5dc7a645e8bd2130bcb832806793a5f2d38fa0f23baa12,17,63381,cpu,"{""t_true_ns"": 125174595541270}"
125174873184786,3493001,00002c5fd76dba7c4b8c45994ab4291ea8dea52c6456b3a7f5f02b90d9fcc487,17,111832,cpu,"{""t_true_ns"": 125174873184786}"
125175235056585,3638724,00002b364caf0f3d20deae15b0d9aa159a3687a70db518b0e089887c01de95c3,17,145723,cpu,"{""t_true_ns"": 125175235056585}"
125175742828037,3846378,00005050bdc2936537b90d7b3342b51b22b544ecb4945b7d673064f7b1e77c27,17,207654,cpu,"{""t_true_ns"": 125175742828037}"
125175781837590,3862414,00006b0a95b5f20e217cb078c3b6a3ccd7fe4626c7a14111e345e1d0acf25fa1,17,16036,cpu,"{""t_true_ns"": 125175781837590}"
125175815320091,3875946,0000463db7a390256e08d8c5fe5b4948820062d4d0d9558578e2cabbc843ba33,17,13532,cpu,"{""t_true_ns"": 125175815320091}"
125175953148622,3932244,000012685e8fa0b98000c188c34e38ee1dde4014ef2f0e9524147a676d7e1f24,17,56298,cpu,"{""t_true_ns"": 125175953148622}"
125176260122861,4056765,000011d80a9a28c0e176d105e487c66770f6178f18a9415e8ae71256aebc9372,17,124521,cpu,"{""t_true_ns"": 125176260122861}"
125176377776523,4105201,00003931315044f000793407f4ab3af5d4f1fa7f1b7d6ab2af134e37c9ba8cb3,17,48436,cpu,"{""t_true_ns"": 125176377776523}"
125176892037613,4313496,000066f6c5054c74d20ed6798943897e76e3333ddcdceca504f07384747931ef,17,208295,cpu,"{""t_true_ns"": 125176892037613}"
125176892357369,4313617,00007a125ef79c20d9553b94f0ede7baa20f5b30e0af11ceab8c790401e3c571,17,121,cpu,"{""t_true_ns"": 125176892357369}"
125177191396249,4437008,00004b96fafe31f241e11fc727ee3885e1ca3d44d6bff29c667ff024e83bfa0f,17,123391,cpu,"{""t_true_ns"": 125177191396249}"
125177274505851,4470989,0000527c128ae930dc7d623d55f0b10ded53559d8db75d6786e62aa12d33321b,17,33981,cpu,"{""t_true_ns"": 125177274505851}"
125178178575230,4837760,0000277cf4e4b417dd6b1fe8fe212bcb55ef8e47325d9e1800915fd9f78332d4,17,366771,cpu,"{""t_true_ns"": 125178178575230}"
125178283945278,4880614,00003ed6f9fac06d59a1bec96e7240310a52aba0dd3e702329ce1b20d0693d89,17,42854,cpu,"{""t_true_ns"": 125178283945278}"
125178813036082,5085250,00002e3712c90ccb363083f5ddd37140ab30ac9a4777d160ff2675fe3d883039,17,204636,cpu,"{""t_true_ns"": 125178813036082}"
125178851372252,5100894,00000af8cfbc2a4535aa701c4498d9b5d7c3b286a0074de367f0e9f0c9aca81d,17,15644,cpu,"{""t_true_ns"": 125178851372252}"
125179064158497,5187094,0000506060b49f23954276242f757fea6df2cc7750293679c1b20d5de54b04e3,17,86200,cpu,"{""t_true_ns"": 125179064158497}"
125179133726452,5215867,00005d82a3f27e17fa0cd1beb4c84c0bf13f02abe67b9f14543789cb98e5fb39,17,28773,cpu,"{""t_true_ns"": 125179133726452}"
125179370436496,5313272,00007881ff666f0270e35d5f4f8a031bf60778f4f78d92e7b694b47a6475dd1e,17,97405,cpu,"{""t_true_ns"": 125179370436496}"
125179521758717,5375966,0000612f5c1308f15ac7733915542f1fea1c63dc5c7eb09ca9affa67fd5c1f97,17,62694,cpu,"{""t_true_ns"": 125179521758717}"
125180038632213,5589134,000065b3067af8785f73d41263bb7e27365957b679750a8b3b819e130db6c1d7,17,213168,cpu,"{""t_true_ns"": 125180038632213}"
125180070412016,5602087,00003e8842f6bccc5b24a866176952a626e2e0d842ee7efe9d882e62bd93c4c0,17,12953,cpu,"{""t_true_ns"": 125180070412016}"
125180397938343,5736955,00006fb93e58937f56587c5525e18fbc3b1d14f29d4371dedd54e5e6ca2c59f9,17,134868,cpu,"{""t_true_ns"": 125180397938343}"
125180430333391,5750319,000045c26d8fd783a21b65957250e7ca887d2fe3062412de9115447d747170e3,17,13364,cpu,"{""t_true_ns"": 125180430333391}"
125180590045161,5815164,000035a82fd94f5e7e1aee422e8736c387b8f92cec0bc102b9e0a76ff2140ccd,17,64845,cpu,"{""t_true_ns"": 125180590045161}"
125180909268409,5939175,0000507a2ef983a9461170887b8a3fa61aa97a06593000c4b3e02bfbbe8a58fa,17,124011,cpu,"{""t_true_ns"": 125180909268409}"
125181607543111,6225506,0000090db342f70c22a22927e0d4e23f47f439a4ec43db2d69504ee2ee77fa41,17,286331,cpu,"{""t_true_ns"": 125181607543111}"
125181870412827,6334341,00001766d09770926d48b66887d732a0047767b2711f3e3c1095e84e50249d2e,17,108835,cpu,"{""t_true_ns"": 125181870412827}"
125182339640286,6524228,000044b47b13bb3567dd19ae7dfc1e393732e383676550cff09b440df15c72d1,17,189887,cpu,"{""t_true_ns"": 125182339640286}"
125182364155796,6534075,00001680c988bc889f25202ae4acbc713e4d3b73b33d7f285aa5bcdb761c91f2,17,9847,cpu,"{""t_true_ns"": 125182364155796}"
