t_ns,attempts_total,attempts_per_s
125409924661548,396780,396780
125410924661450,780280,383500
125411924660927,1074483,294203
125412924660125,1484379,409896
125413924735553,1894939,410560
125414924661976,2288951,394012
125415924660011,2685770,396819
125416924661496,3096786,411016
125417924660663,3510332,413546
125418924659891,3926906,416574
125419924660831,4330700,403794
125420924661031,4726895,396195
125421924660004,5129353,402458
125422924660778,5545282,415929
125423924661217,5962386,417104
125424924661230,6384245,421859
125425924660167,6801459,417214
125426924659877,7217372,415913
125427924661704,7634547,417175
