t_ns,delta_s
125510330296983,0.102177717
125510374825070,0.044528087
125510954074038,0.579248968
125511902659495,0.9485854570000001
125512439282750,0.5366232550000001
125513090266164,0.650983414
125513129340970,0.039074806000000004
125513155996088,0.026655118000000002
125513454956796,0.298960708
125513666836923,0.211880127
125513755727292,0.08889036900000001
125514247552730,0.491825438
125515111606310,0.8640535800000001
125515396898411,0.285292101
125515704512344,0.307613933
125515885239960,0.180727616
125515921239013,0.035999053
125516041106695,0.119867682
125516540790584,0.49968388900000005
125516562823953,0.022033369
125516635940174,0.07311622100000001
125516638689998,0.002749824
125516761253746,0.12256374800000001
125516777330682,0.016076936
125517445822850,0.668492168
125517513823497,0.068000647
125517966837924,0.45301442700000005
125519161053736,1.1942158120000002
125519299304386,0.13825065
125520040515960,0.741211574
125521334283826,1.293767866
125521578341816,0.24405799
125521633178895,0.054837079000000004
125521693785027,0.06060613200000001
125522521841706,0.828056679
125523329954040,0.808112334
125524002591805,0.672637765
125524512762520,0.510170715
125524654551175,0.141788655
125524877089499,0.222538324
125525065221513,0.18813201400000001
125525762257010,0.697035497
125526173452423,0.411195413
125526497671049,0.324218626
125526580902274,0.083231225
125526741867546,0.16096527200000002
125527873997062,1.132129516
125528138784777,0.26478771500000003
125528452199988,0.313415211
125528658850751,0.20665076300000002
125528807966145,0.149115394
125528839601009,0.031634864
125529239431036,0.39983002700000003
125529424907863,0.185476827
125529670352832,0.245444969
