window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125510228119266,125519683714200,1.039450372613974,0.6873252959298343,0.4618195564516129,3.3842397250897296,4.105263157894736,121.60032624110414,10.862532462996473,0.10526315789473628,39.000000000000206,1.7052631578947364
1,125510550605776,125519934836033,1.0477779779208778,0.6539841451978574,0.4604334677419355,3.40997600481192,1.1702127659574468,67.0935345943158,7.821344073142116,0.42553191489361697,2.7500000000000004,1.229787234042553
2,125510763237687,125519991260285,1.074611741407324,0.6539841451978574,0.46333165322580644,3.4676984868822704,1.1891891891891893,61.476008625582686,8.209832859238887,0.43243243243243246,2.75,1.2108108108108107
3,125510916668975,125520053620565,1.0913691118176947,0.6539841451978574,0.46408770161290325,3.5022621806404906,4.1530054644808745,64.68352941427298,8.844879382713032,0.21857923497267784,18.99999999999998,1.7530054644808746
4,125510949219455,125520905643964,1.0364511602788842,0.6539841451978573,0.4621975806451613,3.214005185403048,1.2000000000000002,64.4576948287383,8.602566016786422,0.10000000000000009,11.999999999999991,1.1999999999999997
5,125511360621885,125521737145769,1.0307159323498296,0.6539841451978574,0.4630796370967742,3.0838843872698205,1.1538461538461537,58.27830349939924,9.617846242830229,0.1923076923076925,5.999999999999993,1.2461538461538462
6,125511551467042,125522429251910,0.996743732821248,0.6349849210450058,0.4642137096774194,2.9417754063271477,1.1926605504587156,58.03590496044732,9.047255671995838,0.09174311926605516,12.999999999999982,1.2073394495412844
7,125511804016015,125522954188649,0.9748057436783947,0.6545329683287069,0.46282762096774194,2.869910722496173,1.1607142857142856,58.67161646794674,9.632284832786057,0.1785714285714286,6.499999999999998,1.2392857142857143
8,125512056564988,125523100081142,0.9887282255295531,0.6730843885762433,0.4644657258064516,2.897627852738685,1.1764705882352942,57.45742946612559,10.574095362282057,0.1809954751131222,6.499999999999999,1.2235294117647058
9,125512309113961,125523329060480,0.9915648734045894,0.7043211128036972,0.4637096774193548,2.903825344780695,1.1764705882352942,54.413805256273214,10.009620107131168,0.1809954751131222,6.499999999999999,1.2235294117647058
10,125512561662934,125523522637659,0.9989710579064686,0.7343108751871235,0.46169354838709675,2.919448388747197,1.1818181818181819,50.55528955124922,10.146257060521858,0.18181818181818188,6.499999999999998,1.218181818181818
11,125512814211907,125524239847684,0.9729628481300487,0.7404943024439492,0.4627016129032258,2.800719419431919,2.358078602620087,36.873728166956845,8.228743774973474,0.1746724890829694,13.500000000000002,0.04192139737991285
12,125513066760880,125524662944474,0.9572326211003404,0.753598678512157,0.46585181451612906,2.7595285759840134,1.206896551724138,40.175530495832255,8.864272494877351,0.0862068965517242,13.99999999999999,1.193103448275862
13,125513319309853,125524996547076,0.948938291579265,0.7784927507496523,0.4659778225806452,2.7403742331252285,1.1965811965811963,42.88633917320227,9.065086978902915,0.170940170940171,6.9999999999999964,1.2034188034188036
14,125513571858826,125525082187292,0.971249885787321,0.8008728369416283,0.4654737903225806,2.780111800851192,2.3376623376623376,38.0671718863057,8.605502698700239,0.08658008658008676,26.999999999999943,0.06233766233766236
15,125513824407799,125525247811445,0.9821405357044617,0.8198720610944799,0.4671118951612903,2.8012666794983705,2.358078602620087,40.15522800907114,8.536380694366557,0.1746724890829694,13.500000000000002,0.04192139737991285
16,125514076956772,125526412708566,0.975821238294839,0.8198720610944799,0.4693800403225806,2.594085916641458,2.3481781376518214,46.05832467267773,8.40356800904367,0.08097165991902866,28.99999999999988,0.05182186234817854
17,125514113997760,125526685160110,0.9451599947471124,0.806078957646204,0.46849798387096775,2.5455084509349284,2.380952380952381,45.553016842350715,8.796949832690897,0.1587301587301586,15.00000000000001,0.01904761904761898
18,125514237334808,125526790295192,0.9476673665966868,0.8198720610944799,0.4678679435483871,2.549199473359861,2.380952380952381,37.74038447783541,8.080220887465217,0.1587301587301586,15.00000000000001,0.01904761904761898
19,125514751481232,125526836112074,0.9965693997303442,0.8336651645427556,0.46950604838709675,2.647991520666428,2.3966942148760326,33.334368148621735,7.41870342501622,0.08264462809917328,29.000000000000092,0.0033057851239672864
20,125514774152319,125527432126447,0.9405568579435641,0.8336651645427556,0.46774193548387094,2.528050671964527,2.3622047244094486,53.04673324402274,8.986753195762576,0.15748031496063009,14.999999999999982,0.03779527559055129
21,125514849384777,125528408167128,0.8962542482644485,0.8474582679910314,0.46849798387096775,2.360093935547236,7.205882352941176,60.416863462291154,8.98495693485769,0.14705882352941213,48.99999999999987,4.805882352941175
22,125514852214190,125528960322039,0.8438591118550405,0.8480447857883703,0.4676159274193548,2.268199275373997,8.904593639575973,50.38317226207712,8.032586452417874,0.1413427561837448,63.000000000000355,6.5045936395759725
23,125514978325343,125529630147075,0.805937315030407,0.8239805159587916,0.4657258064516129,2.184028756650177,2.3809523809523805,70.06359873963706,9.771991487090387,0.1360544217687072,17.500000000000036,0.019047619047619424
24,125514994867601,125529670352831,0.8026904622340777,0.8239805159587916,0.4659778225806452,2.180507117719337,7.278911564625849,52.79695632378965,8.531238512290999,0.06802721088435337,107.00000000000057,4.878911564625849
