seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
0,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.939341228577741,0.7688589336993722,8.606687909000268,2.3352348150539948,2.2670296795720173,30.384259259259256,3.737564172599463,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.9626722424208745,0.8084294094144973,8.7053862877664,2.4489795918367343,2.6691359812847097,39.22999999999999,6.200501253132831,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.939341228577741,0.7688589336993722,8.606687909000268,2.3352348150539948,2.2670296795720173,30.384259259259256,3.737564172599463,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.9626722424208745,0.8084294094144973,8.7053862877664,2.4489795918367343,2.6691359812847097,39.22999999999999,6.200501253132831,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.975284633466581,0.5769253858790073,10.285986880774068,6.683699112079076,3.2181637813205883,31.34259259259259,3.2996570226480153,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.9703292042690719,0.7483371364887769,8.947018778035208,2.3481781376518214,1.3335616946024702,21.400000000000038,1.1917631917631917,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.975284633466581,0.5769253858790073,10.285986880774068,6.683699112079076,3.2181637813205883,31.34259259259259,3.2996570226480153,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.9703292042690719,0.7483371364887769,8.947018778035208,2.3481781376518214,1.3335616946024702,21.400000000000038,1.1917631917631917,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,0.9250314438034783,0.7704671383109725,7.776750038949157,4.502561142774692,2.6436177671287955,26.263888888888914,4.191794755877034,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,1.0115102613767935,0.8437346935542585,7.716445883746885,3.188405797101449,2.261944304030414,34.70000000000003,1.9060773480662974,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_metric,0.0,0.0,0.0,0.0,0.9250314438034783,0.7704671383109725,7.776750038949157,4.502561142774692,2.6436177671287955,26.263888888888914,4.191794755877034,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_metric,0.0,0.0,0.0,0.0,1.0115102613767935,0.8437346935542585,7.716445883746885,3.188405797101449,2.261944304030414,34.70000000000003,1.9060773480662974,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_phase_delta,0.0,0.0,0.0,0.0,1.2861657652331935,0.7848155718821688,8.829971277324042,0.710059171597633,2.605716747749563,18.152777777777732,3.9427157616446937,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_phase_delta,0.0,0.0,0.0,0.0,1.2822153317437464,0.8178886090489438,9.04106402438945,1.7467248908296942,3.7253441988805513,31.30000000000009,7.497525694708793,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_phase_metric,0.0,0.0,0.0,0.0,1.2861657652331935,0.7848155718821688,8.829971277324042,0.710059171597633,2.605716747749563,18.152777777777732,3.9427157616446937,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_phase_metric,0.0,0.0,0.0,0.0,1.2822153317437464,0.8178886090489438,9.04106402438945,1.7467248908296942,3.7253441988805513,31.30000000000009,7.497525694708793,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_shuffle_delta,0.0,0.0,0.0,0.0,0.9132879312534299,0.7647079475093287,7.72083459254056,5.32463198487152,2.5978203399735347,29.727777777777785,2.848719115279624,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_shuffle_delta,0.0,0.0,0.0,0.0,0.9842796019109055,0.8038337751949051,8.331206759230795,4.8,3.174961528087347,33.07333333333334,2.99732337990816,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_shuffle_metric,0.0,0.0,0.0,0.0,0.9132879312534299,0.7647079475093287,7.72083459254056,5.32463198487152,2.5978203399735347,29.727777777777785,2.848719115279624,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_shuffle_metric,0.0,0.0,0.0,0.0,0.9842796019109055,0.8038337751949051,8.331206759230795,4.8,3.174961528087347,33.07333333333334,2.99732337990816,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
