t_ns,attempts_total,attempts_per_s
125725183139869,347273,347273
125726179073911,761621,414348
125727179072573,1185906,424285
125728179071488,1608758,422852
125729179071667,2003403,394645
125730179072600,2377063,373660
125731179075284,2795958,418895
125732179072028,3222341,426383
125733179072456,3649716,427375
125734179070939,4074573,424857
125735179071116,4504138,429565
125736179071386,4929887,425749
125737179071159,5359987,430100
125738179072538,5787235,427248
125739179071119,6215076,427841
125740179072408,6631448,416372
125741179071661,7036482,405034
125742179071379,7439251,402769
125743179071787,7858062,418811
