window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125724838033610,125728238033611,0.9930554686879222,0.3131192460715204,0.4713541666666667,4.705882351557094,4.9275362318840585,42.064516029435104,6.289803786701383,0.5797101449275361,8.500000000000002,2.5275362318840586
1,125725438033610,125728438033610,0.999999996785714,0.30116462004165695,0.47317708333333336,5.333333333333333,10.0,38.87151939373525,7.488472443707936,0.3333333333333339,29.999999999999947,7.6
2,125725638033610,125728638033610,0.999999996785714,0.30116462004165695,0.471875,5.333333333333333,10.0,45.68176160018757,7.210103169391808,0.3333333333333339,29.999999999999947,7.6
3,125725838033610,125729238033610,0.9930554690173302,0.3131192460715204,0.4708333333333333,4.705882352941176,9.999999999999998,78.8686066261703,10.866743548225951,0.2941176470588225,34.000000000000114,7.599999999999998
4,125726038033610,125729238033611,1.0902367010727219,0.3131192460715204,0.47630208333333335,4.9999999984375,4.923076923076923,72.63283259410201,11.046295702764027,0.3076923076923075,16.00000000000001,2.5230769230769234
5,125726638033610,125729238033612,1.2231909495543964,0.30116462004165695,0.4765625,6.153846149112425,4.90566037735849,59.62519319821869,10.372417761776898,0.37735849056603765,13.000000000000002,2.5056603773584905
6,125726638033611,125729638033610,1.0690449639971271,0.3131192460715204,0.4786458333333333,5.33333333511111,5.0,40.63320137811096,9.999516436836108,0.33333333333333304,15.000000000000014,2.6
7,125726638033612,125730638033610,1.0856202953142566,0.3651210398033887,0.4856770833333333,4.000000002,5.0,72.00438761576345,11.538323363924752,0.5,10.0,2.6
8,125727238033610,125731038033610,1.0950115314943758,0.3651210398033887,0.48463541666666665,4.2105263157894735,10.0,55.93684012611991,8.231814140347183,0.2631578947368425,37.99999999999994,7.6
9,125727638033610,125731438033610,1.0950115314943758,0.3651210398033887,0.48489583333333336,4.2105263157894735,10.0,33.63883317773371,6.4462180812551715,0.2631578947368425,37.99999999999994,7.6
10,125727638033611,125731438033611,1.0950115314943762,0.3651210398033887,0.48046875,4.2105263157894735,2.894736842105263,18.151393930744472,5.773589173778322,0.2631578947368425,10.999999999999984,0.4947368421052629
11,125727638033612,125731438033612,1.0950115314943762,0.3651210398033887,0.4825520833333333,4.2105263157894735,5.0,22.948857791105223,7.075693453067107,0.5263157894736841,9.500000000000002,2.6
12,125727838033610,125731438033613,1.1868993858438053,0.36124778573067795,0.4828125,4.444444440740741,4.931506849315069,24.355465410575484,5.990396457636091,0.27397260273972535,18.000000000000046,2.5315068493150688
13,125728038033610,125731638033610,1.1868993869582647,0.36124778573067795,0.4859375,4.444444444444445,10.0,20.67346236641627,5.683067120485084,0.2777777777777768,36.00000000000013,7.6
14,125728238033610,125732438033610,1.1390241834039383,0.3778492857018316,0.4830729166666667,3.8095238095238093,10.0,35.77123012091233,9.079475529896062,0.23809523809523903,41.99999999999984,7.6
15,125728238033611,125732438033611,1.1390241834039383,0.3778492857018316,0.48072916666666665,3.8095238095238093,5.0,19.154136345575445,7.759841985196651,0.4761904761904763,10.499999999999998,2.6
16,125728438033610,125732638033610,1.1390241834039383,0.3778492857018316,0.4778645833333333,3.8095238095238093,10.0,39.14517237546494,7.4371750132270344,0.23809523809523903,41.99999999999984,7.6
17,125728638033610,125732838033610,1.1390241834039383,0.3778492857018316,0.47552083333333334,3.8095238095238093,10.0,43.992446572155835,6.591938009387825,0.23809523809523903,41.99999999999984,7.6
18,125729238033610,125733238033610,1.157275123326959,0.3778492857018316,0.4713541666666667,4.0,10.0,56.746465180531864,6.018314462065495,0.25,40.0,7.6
19,125729238033611,125733838033610,1.0123461458304939,0.3817225397745425,0.4703125,3.478260870321361,4.999999999999999,41.88935531751226,6.6896205277087475,0.43478260869565233,11.499999999999995,2.599999999999999
20,125729238033612,125733838033611,1.0123461458304939,0.3817225397745425,0.46875,3.478260870321361,4.999999999999999,53.3129835101956,8.24201753872944,0.21739130434782616,22.99999999999999,2.599999999999999
21,125729638033610,125733838033612,1.1390241830535164,0.3778492857018316,0.46822916666666664,3.80952380770975,4.9411764705882355,72.84580368064468,7.09953954530929,0.23529411764705888,20.999999999999996,2.5411764705882356
22,125730638033610,125734038033610,1.099363945268896,0.36124778573067795,0.46536458333333336,4.705882352941176,9.999999999999998,45.97064426064642,8.186461425877198,0.2941176470588225,34.000000000000114,7.599999999999998
23,125731038033610,125734238033610,1.1463743295172464,0.3563874127093408,0.46380208333333334,5.0,10.0,34.13833082379202,7.88259031562033,0.3125,32.0,7.6
24,125731438033610,125734438033610,1.1952286075415504,0.34111745233965207,0.46197916666666666,5.333333333333333,10.0,29.647910736060513,8.482406439002844,0.3333333333333339,29.999999999999947,7.6
25,125731438033611,125734838033610,1.0475591279069347,0.3563874127093408,0.4674479166666667,4.705882354325259,4.999999999999999,26.876508737120748,8.949958273702979,0.5882352941176467,8.500000000000004,2.599999999999999
26,125731438033612,125734838033611,1.0475591279069347,0.3563874127093408,0.46979166666666666,4.705882354325259,4.999999999999999,37.50419644721526,9.64586802708791,0.5882352941176467,8.500000000000004,2.599999999999999
27,125731438033613,125735038033610,0.955352506948649,0.3492931597008144,0.46770833333333334,4.444444448148148,10.0,53.94495970858966,8.592149076884677,0.2777777777777768,36.00000000000013,7.6
28,125731638033610,125735238033610,0.955352505996758,0.3492931597008144,0.46458333333333335,4.444444444444445,10.0,58.3828594821493,8.726129043925827,0.2777777777777768,36.00000000000013,7.6
29,125732438033610,125736038033610,0.9553525059967579,0.3492931597008144,0.46796875,4.444444444444445,10.0,73.53004676578912,10.08885518234533,0.2777777777777768,36.00000000000013,7.6
30,125732438033611,125736238033610,0.8682501535937238,0.3345811190640112,0.46822916666666664,4.210526316897507,5.0,46.2694841823233,10.775398206887758,0.2631578947368416,19.000000000000036,2.6
31,125732638033610,125736638033610,0.8345229596740967,0.3492931597008144,0.46848958333333335,4.0,10.0,77.21375788556796,10.759538473430412,0.25,40.0,7.6
32,125732838033610,125736638033611,0.9180940655127757,0.36124778573067795,0.47239583333333335,4.21052631468144,4.9350649350649345,65.11920869680984,10.910463269492372,0.25974025974026027,18.999999999999957,2.5350649350649346
33,125733238033610,125736838033610,0.9553525059967579,0.3492931597008144,0.47552083333333334,4.444444444444445,10.0,50.4072450285767,11.545574883257308,0.2777777777777768,36.00000000000013,7.6
34,125733838033610,125737038033610,0.9682458352550964,0.32804478578837043,0.47734375,5.0,10.0,26.34953439301092,9.451470459677761,0.3125,32.0,7.6
35,125733838033611,125737238033610,0.8739091774673172,0.31092195225311337,0.47708333333333336,4.705882354325259,4.999999999999999,21.735320001731704,9.875077063617413,0.5882352941176467,8.500000000000004,2.599999999999999
36,125733838033612,125737238033611,0.8739091774673173,0.31092195225311337,0.47604166666666664,4.705882354325259,9.999999999999998,29.86984091174086,10.250281126884033,0.2941176470588225,34.000000000000114,7.599999999999998
37,125734038033610,125737838033610,0.8682501527841245,0.3345811190640112,0.47421875,4.2105263157894735,10.0,44.74887066565067,11.78747075799138,0.2631578947368425,37.99999999999994,7.6
38,125734238033610,125737838033611,0.9553525051602474,0.3492931597008144,0.47265625,4.444444443209877,4.931506849315069,38.205687908427414,10.105576803249575,0.5479452054794516,9.000000000000009,2.5315068493150688
39,125734438033610,125738238033610,0.9180940650916707,0.36124778573067795,0.47734375,4.2105263157894735,10.0,53.50212088989113,10.577184720401409,0.2631578947368425,37.99999999999994,7.6
40,125734838033610,125738238033611,1.0475591264236561,0.3563874127093408,0.4739583333333333,4.705882351557094,4.9275362318840585,48.392635171700555,11.931515433573331,0.2898550724637676,17.000000000000032,2.5275362318840586
41,125734838033611,125738438033610,0.955352505535235,0.3492931597008144,0.47239583333333335,4.444444445679013,5.0,35.41300735380121,11.640503919495453,0.2777777777777777,18.000000000000007,2.6
42,125735038033610,125738638033610,0.955352505217938,0.3492931597008144,0.46875,4.444444444444445,10.0,63.966488796626095,15.866787748994042,0.2777777777777768,36.00000000000013,7.6
43,125735238033610,125739238033610,0.9258200982536279,0.36124778573067795,0.4744791666666667,4.0,10.0,87.37212635940367,13.237206798439452,0.25,40.0,7.6
44,125736038033610,125739638033610,0.845154252674322,0.3131192460715204,0.4747395833333333,4.444444444444445,10.0,67.11322643917289,9.761813441235812,0.2777777777777768,36.00000000000013,7.6
