t_ns,delta_s
125725038033605,0.199999995
125725038033606,1e-09
125725038033607,1e-09
125725038033608,1e-09
125725238033603,0.199999995
125725438033598,0.199999995
125725638033593,0.199999995
125725838033588,0.199999995
125726238033592,0.400000004
125726838033591,0.599999999
125726838033592,1e-09
125726838033593,1e-09
125727038033588,0.199999995
125727638033587,0.599999999
125727838033582,0.199999995
125727838033583,1e-09
125728038033578,0.199999995
125728438033582,0.400000004
125728638033577,0.199999995
125728638033578,1e-09
125729038033582,0.400000004
125729038033583,1e-09
125729838033590,0.8000000070000001
125729838033591,1e-09
125730038033586,0.199999995
125730438033590,0.400000004
125730438033591,1e-09
125732038033603,1.6000000120000002
125732438033607,0.400000004
125732638033602,0.199999995
125733638033615,1.000000013
125734238033614,0.599999999
125734438033609,0.199999995
125734838033613,0.400000004
125734838033614,1e-09
125735038033609,0.199999995
125735238033604,0.199999995
125735238033605,1e-09
125735438033600,0.199999995
125735438033601,1e-09
125735638033596,0.199999995
125736038033600,0.400000004
125736638033599,0.599999999
125737238033598,0.599999999
125737238033599,1e-09
125737838033598,0.599999999
125738238033602,0.400000004
125738638033606,0.400000004
125739038033610,0.400000004
125739638033609,0.599999999
125740238033608,0.599999999
125740438033603,0.199999995
125740638033598,0.199999995
125740638033599,1e-09
125740838033594,0.199999995
125741038033589,0.199999995
125741438033593,0.400000004
125741438033594,1e-09
125741438033595,1e-09
125741438033596,1e-09
125742238033603,0.8000000070000001
125742438033598,0.199999995
125742638033593,0.199999995
125742638033594,1e-09
125742638033595,1e-09
125743638033608,1.000000013
125743838033603,0.199999995
125744038033598,0.199999995
