t_ns,delta_s
125744628909322,1e-09
125744628909323,1e-09
125745228909321,0.599999998
125746028909321,0.8
125746428909321,0.4
125747028909321,0.6000000000000001
125747028909322,1e-09
125747028909323,1e-09
125747228909321,0.199999998
125747428909321,0.2
125747628909321,0.2
125748028909321,0.4
125748828909321,0.8
125749028909321,0.2
125749428909321,0.4
125749428909322,1e-09
125749628909321,0.199999999
125749628909322,1e-09
125750028909321,0.39999999900000005
125750228909321,0.2
125750228909322,1e-09
125750228909323,1e-09
125750228909324,1e-09
125750428909321,0.199999997
125750828909321,0.4
125751028909321,0.2
125751428909321,0.4
125752428909321,1.0
125752628909321,0.2
125753228909321,0.6000000000000001
125754428909321,1.2000000000000002
125754628909321,0.2
125754628909322,1e-09
125754828909321,0.199999999
125755428909321,0.6000000000000001
125756228909321,0.8
125756828909321,0.6000000000000001
125757228909321,0.4
125757428909321,0.2
125757628909321,0.2
125757828909321,0.2
125758428909321,0.6000000000000001
125758828909321,0.4
125759228909321,0.4
125759228909322,1e-09
125759428909321,0.199999999
125760428909321,1.0
125760828909321,0.4
125761028909321,0.2
125761228909321,0.2
125761428909321,0.2
125761428909322,1e-09
125761828909321,0.39999999900000005
125762028909321,0.2
125762228909321,0.2
125763028909321,0.8
125763628909321,0.6000000000000001
125763628909322,1e-09
125763628909323,1e-09
125763828909321,0.199999998
