t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125744628909321,32193,00000807c61c1b44f2ed08a364c6985337bc36f62a45e44707b395163d65cbb8,17,32194,cpu,"{""t_true_ns"": 125744428909321}"
125744628909322,72881,00007382d83d7e82ec9209a9079476d6ad6f205bedc40e6a42d943ac633e5c7d,17,40688,cpu,"{""t_true_ns"": 125744549917412}"
125744628909323,90471,000015f4ddf81d8a505151975f91c56b5e6d99187103186e03532b9462cf3e80,17,17590,cpu,"{""t_true_ns"": 125744591753955}"
125745228909321,309227,00006a65ef3a666fde6d0fd6520c22ab9656933a4d56fd8bd115cbff6f758db3,17,218756,cpu,"{""t_true_ns"": 125745118072662}"
125746028909321,621167,0000681594b8d889a9b5ed715ffed43ed9c09d1da729d32e7e8a4304407646c6,17,311940,cpu,"{""t_true_ns"": 125745892495466}"
125746428909321,788802,000029b73587e42a56c48c18ed989354253234cab14e620835fb016842e0ad87,17,167635,cpu,"{""t_true_ns"": 125746305931358}"
125747028909321,1025368,00007c2de09a5ae9e0f6fc4c88d6aaac34d9e6038568761260bdb9632dabea59,17,236566,cpu,"{""t_true_ns"": 125746881010467}"
125747028909322,1037230,00003c6d5a42c453853c759cdda5b023b773e247ffd6f0c5563a4ce383ec0d89,17,11862,cpu,"{""t_true_ns"": 125746908719714}"
125747028909323,1047342,000064dc620d6393e946815f504eea5fc095f0bb41c8b87b8ada4dd0a9e451a8,17,10112,cpu,"{""t_true_ns"": 125746932494642}"
125747228909321,1160000,00006a143ccfc42e908b4d3a00931b7caa6cdab174a67557ab6fb995f869e55f,17,112658,cpu,"{""t_true_ns"": 125747206119985}"
125747428909321,1242648,00001ab5262ce752723f699c369ee0b719992bd2b2df07be86dc521613cd2b05,17,82648,cpu,"{""t_true_ns"": 125747419774585}"
125747628909321,1276869,00004e14149634bbe5bb8b2bf6123597c983d1a1eff49ad1949d825a09c13f78,17,34221,cpu,"{""t_true_ns"": 125747502947268}"
125748028909321,1462934,00001b984af915cdd6f4099e365bbbe938a6d02bebc1e90c1b88828f5c6ab340,17,186065,cpu,"{""t_true_ns"": 125747950485617}"
125748828909321,1792379,00004a9e20ffefe30210d558a49399f14a1a1cb6de6a631f469306213bb718ff,17,329445,cpu,"{""t_true_ns"": 125748723656714}"
125749028909321,1900114,0000444aaacdeba032f3ee89da5af2f6b1bc66925b8d0fc7d2016e87df22a303,17,107735,cpu,"{""t_true_ns"": 125748981366046}"
125749428909321,2017717,0000085e7549fa008a8d5cdd695ee907ddbc9e65e5edd19c6ba4cc235c5a4513,17,117603,cpu,"{""t_true_ns"": 125749256959448}"
125749428909322,2088490,00003843fa122a2cc8a5c83d273fe56278e668553643c7ca16be4c17745ee92a,17,70773,cpu,"{""t_true_ns"": 125749426692590}"
125749628909321,2102334,00000abb40140818326eb9d54a2eca8cd38a1b77b1351d5296c766f934613e4e,17,13844,cpu,"{""t_true_ns"": 125749460173612}"
125749628909322,2148662,00001ea79325f2a577ec5c59cbf17a36a91cf8cbaffdf524f43fc28973d09761,17,46328,cpu,"{""t_true_ns"": 125749568320148}"
