t_ns,delta_s
125744628909322,1e-09
125744628909323,1e-09
125744628909326,3.0000000000000004e-09
125744628923927,1.4601000000000001e-05
125745409846211,0.7809222840000001
125745423225779,0.013379568000000001
125745423225780,1e-09
125745423225781,1e-09
125745423225782,1e-09
125745423225783,1e-09
125745423225784,1e-09
125745423225785,1e-09
125745423230057,4.272e-06
125745423258088,2.8031000000000003e-05
125750329509193,4.906251105
125750329509568,3.75e-07
125750329509569,1e-09
125750329609653,0.00010008400000000001
125750329609654,1e-09
125750329609677,2.3e-08
125750329611734,2.057e-06
125750329856144,0.00024441
125750329856145,1e-09
125750329856146,1e-09
125750329856367,2.21e-07
125750329856376,9.000000000000001e-09
125750329863125,6.749e-06
125750329935404,7.2279e-05
125750331004743,0.001069339
125750331161748,0.00015700500000000002
125750331161749,1e-09
125750331162212,4.63e-07
125750373371434,0.042209222000000005
125750373931353,0.0005599190000000001
125750463775179,0.089843826
125750464381037,0.000605858
125750465116584,0.000735547
125750465180791,6.4207e-05
125750497553563,0.032372772
125750497558745,5.1820000000000005e-06
125750497563759,5.014000000000001e-06
125750497563911,1.52e-07
125750497563912,1e-09
125750497563921,9.000000000000001e-09
125750497563926,5e-09
125750497563928,2e-09
125750498545251,0.000981323
125750498545252,1e-09
125761893203652,11.3946584
125762224592726,0.331389074
125762224595320,2.594e-06
125762224672490,7.717000000000001e-05
125762224812094,0.00013960400000000001
125762224812095,1e-09
125762224812183,8.800000000000001e-08
125763778975798,1.554163615
125763778975799,1e-09
125763779619050,0.0006432510000000001
125763818708173,0.039089123
125763828909334,0.010201161
