t_ns,delta_s
125724838033611,1e-09
125724838033616,5e-09
125724838034712,1.096e-06
125724920442984,0.082408272
125724920545140,0.000102156
125724920545141,1e-09
125724920545142,1e-09
125724920545143,1e-09
125724921354417,0.000809274
125724921815616,0.00046119900000000003
125724955382929,0.033567313
125724956118449,0.00073552
125724957090525,0.0009720760000000001
125724957090526,1e-09
125724957090527,1e-09
125724957090533,6.000000000000001e-09
125724957090906,3.73e-07
125724957093334,2.4280000000000003e-06
125724957093335,1e-09
125724958686802,0.001593467
125724958686813,1.1000000000000001e-08
125724958686814,1e-09
125724958686815,1e-09
125724958688191,1.376e-06
125724958725020,3.6829e-05
125725520040508,0.5613154880000001
125725520040509,1e-09
125725547490661,0.027450152000000002
125725547490680,1.9e-08
125725547494566,3.8860000000000006e-06
125725547494569,3.0000000000000004e-09
125726369938052,0.822443483
125726369938053,1e-09
125726369938065,1.2000000000000002e-08
125726369938097,3.2e-08
125726369957571,1.9474e-05
125726376807262,0.006849691000000001
125726393313271,0.016506009000000002
125726393313272,1e-09
125726393313273,1e-09
125726393313610,3.37e-07
125726393313628,1.8000000000000002e-08
125726393313629,1e-09
125726393313630,1e-09
125726393314023,3.9300000000000004e-07
125726393729459,0.00041543600000000004
125726393731468,2.009e-06
125726393731522,5.4e-08
125726395651452,0.00191993
125726395651460,8e-09
125726395651461,1e-09
125743769634868,17.373983407
125743770050859,0.00041599100000000005
125743770050860,1e-09
125743770050861,1e-09
125743770050862,1e-09
125743770050863,1e-09
125743770731518,0.0006806550000000001
125743770731519,1e-09
125743770731520,1e-09
125743770731526,6.000000000000001e-09
125744037890043,0.26715851700000004
125744037892498,2.4550000000000002e-06
125744037892499,1e-09
125744037892500,1e-09
125744037925240,3.274e-05
125744037943293,1.8053e-05
125744038033630,9.0337e-05
