t_ns,delta_s
125745428909327,0.8000000060000001
125745628909322,0.199999995
125745628909323,1e-09
125745828909318,0.199999995
125746028909313,0.199999995
125746028909314,1e-09
125746828909320,0.8000000060000001
125747028909315,0.199999995
125747228909310,0.199999995
125747428909305,0.199999995
125747628909300,0.199999995
125748228909298,0.599999998
125748828909296,0.599999998
125749228909300,0.400000004
125749428909295,0.199999995
125749828909299,0.400000004
125750028909294,0.199999995
125750028909295,1e-09
125750428909299,0.400000004
125751428909311,1.000000012
125751628909306,0.199999995
125751828909301,0.199999995
125752028909296,0.199999995
125752228909291,0.199999995
125752828909289,0.599999998
125752828909290,1e-09
125753028909285,0.199999995
125754228909300,1.200000015
125754428909295,0.199999995
125755028909293,0.599999998
125755028909294,1e-09
125755428909298,0.400000004
125755428909299,1e-09
125755828909303,0.400000004
125755828909304,1e-09
125756028909299,0.199999995
125757028909311,1.000000012
125757628909309,0.599999998
125758428909315,0.8000000060000001
125758828909319,0.400000004
125758828909320,1e-09
125758828909321,1e-09
125758828909322,1e-09
125759028909317,0.199999995
125759228909312,0.199999995
125760028909318,0.8000000060000001
125760228909313,0.199999995
125760828909311,0.599999998
125761228909315,0.400000004
125761428909310,0.199999995
125761428909311,1e-09
125761628909306,0.199999995
125762028909310,0.400000004
125762028909311,1e-09
125762028909312,1e-09
125762428909316,0.400000004
125762828909320,0.400000004
125762828909321,1e-09
125763428909319,0.599999998
125763828909323,0.400000004
