seed,source,sigma,pred_mse,rollout_mse_mean,rollout_mse_last,cv_mean,hist_entropy_mean,psd_peak_snr_db_mean,psd_peak_hz_median,psd_peak_hz_error_hz_mean,psd_peak_q_mean,psd_peak_hz_iqr_hz,hey_gap_mean_l1,hey_double_neg_change_frac,hey_mutual_pairs,hey_anomaly_mean,eig_abs_mean,eig_spectral_radius,eig_neutral_count_0p98_1p02,eig_neutral_count_0p95_1p05,eig_neutral_angle_abs_mean,boot_spectral_radius_p50,boot_neutral_0p98_1p02_p50,ach_x_noise_rel_std,ach_h_frac_at_0,ach_h_frac_at_top,r_birth_p90,r_mutual_edge_count,r_mutual_active_pairs_rate_mean
0,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,1.0112523596649983,0.34278491232188596,9.243731495176736,10.0,5.330791282348594,27.129629629629633,5.000000000000001,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_delta,0.0,0.0,0.0,0.0,0.883008073464865,0.36938095054128967,10.471483657227541,9.999999999999998,5.518915865462581,37.4782608695652,5.04238186056368,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,1.0112523596649983,0.34278491232188596,9.243731495176736,10.0,5.330791282348594,27.129629629629633,5.000000000000001,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_share_events_metric,0.0,0.0,0.0,0.0,0.883008073464865,0.36938095054128967,10.471483657227541,9.999999999999998,5.518915865462581,37.4782608695652,5.04238186056368,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.8482360921237279,0.33171544700968425,9.66843318431386,7.2046511627906975,3.8207507834270635,13.824074074074069,5.738278121213366,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_delta,0.0,0.0,0.0,0.0,0.8813699767741737,0.35581442201940167,8.951494673515704,4.814814814814815,2.4869059818944637,16.206521739130427,0.02636341403766096,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.8482360921237279,0.33171544700968425,9.66843318431386,7.2046511627906975,3.8207507834270635,13.824074074074069,5.738278121213366,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_blockshuffle_metric,0.0,0.0,0.0,0.0,0.8813699767741737,0.35581442201940167,8.951494673515704,4.814814814814815,2.4869059818944637,16.206521739130427,0.02636341403766096,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,0.9753665743970339,0.33289070097505313,8.878637769587188,5.0,3.334235852393704,19.2962962962963,0.23196141780212542,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_delta,0.0,0.0,0.0,0.0,0.9355195530111147,0.3561041520285113,9.503923001416153,4.95575221238938,3.100169688830082,22.04347826086959,0.04950495049504955,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_iaaft_metric,0.0,0.0,0.0,0.0,0.9753665743970339,0.33289070097505313,8.878637769587188,5.0,3.334235852393704,19.2962962962963,0.23196141780212542,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_iaaft_metric,0.0,0.0,0.0,0.0,0.9355195530111147,0.3561041520285113,9.503923001416153,4.95575221238938,3.100169688830082,22.04347826086959,0.04950495049504955,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_phase_delta,0.0,0.0,0.0,0.0,3.3786356779064057,0.5799000613388315,20.987680296837947,0.11494252873563217,1.5938500624050478,0.661528580603725,1.6666666666666665,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_phase_delta,0.0,0.0,0.0,0.0,3.2090433603511705,0.6166293088229121,21.096989189857023,0.17391304347826086,2.0806969060308025,0.5659865742184852,0.8132169149118301,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_phase_metric,0.0,0.0,0.0,0.0,3.3786356779064057,0.5799000613388315,20.987680296837947,0.11494252873563217,1.5938500624050478,0.661528580603725,1.6666666666666665,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_phase_metric,0.0,0.0,0.0,0.0,3.2090433603511705,0.6166293088229121,21.096989189857023,0.17391304347826086,2.0806969060308025,0.5659865742184852,0.8132169149118301,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_shuffle_delta,0.0,0.0,0.0,0.0,0.9719650647351885,0.3348792994278025,9.093910907818142,5.0,4.001321928117813,22.55555555555557,5.0409917355371885,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_shuffle_delta,0.0,0.0,0.0,0.0,0.9162891866133215,0.3712620591723326,9.571517928776816,5.0,3.874332328952731,25.41304347826087,1.7121322832940926,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pc_pow_surrogate_shuffle_metric,0.0,0.0,0.0,0.0,0.9719650647351885,0.3348792994278025,9.093910907818142,5.0,4.001321928117813,22.55555555555557,5.0409917355371885,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pc_pow_surrogate_shuffle_metric,0.0,0.0,0.0,0.0,0.9162891866133215,0.3712620591723326,9.571517928776816,5.0,3.874332328952731,25.41304347826087,1.7121322832940926,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
