t_ns,attempts_total,attempts_per_s
125628454774391,168564,168564
125629538732734,327123,158559
125630454775388,500036,172913
125631621688356,680172,180136
125632455100410,816518,136346
125633454775515,958333,141815
125634538343742,1103568,145235
125635454774813,1274756,171188
125636621681785,1455819,181063
125637455026513,1596158,140339
125638454774187,1788116,191958
125639538345568,1945260,157144
125640454785100,2117652,172392
125641621684444,2301902,184250
125642455025314,2442023,140121
125643454776337,2642449,200426
125644538356376,2789390,146941
125645454774548,2935013,145623
125646621690041,3117537,182524
