window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125695959226549,125700700946590,1.3680053625077093,0.6646462857595241,0.46510416666666665,3.3743029663610624,0.42105263157894735,44.70660928387583,8.301035361124455,0.21052631578947367,2.0,3.278947368421053
1,125696121367180,125704986131575,1.8763297592449473,0.6757566986972351,0.45989583333333334,1.8048985045811812,10.0,19.33896323822192,7.4742941333687565,0.11235955056179847,88.99999999999943,6.3
2,125696374114541,125706811480885,1.6502159717183742,0.7043281272686636,0.46328125,1.5329537617693876,9.952153110047846,10.53163595603132,6.758106538632159,0.09569377990430716,103.99999999999896,6.252153110047845
3,125697480250380,125707402384226,1.7276574083883558,0.7043281272686636,0.4635416666666667,1.6125563561562137,0.10050251256281406,16.569249474072333,12.018169934729757,0.10050251256281406,1.0,3.599497487437186
4,125697594929771,125707771865511,1.674327558477039,0.7043281272686636,0.46015625,1.5721824730712113,9.901960784313724,4.298772146113831,6.424523405116855,0.19607843137254832,50.50000000000017,6.201960784313724
5,125697612270266,125707789607818,1.6742368422412948,0.732899555840092,0.46145833333333336,1.5721204016521746,9.999999999999998,5.589119896829041,7.651954336775722,0.09803921568627416,102.00000000000034,6.299999999999998
6,125697629279780,125708199942422,1.5950785948554698,0.732899555840092,0.4588541666666667,1.5136231797264843,10.0,5.580616171708306,7.3773370142807195,0.09433962264150964,105.99999999999977,6.3
7,125697818507577,125708341535489,1.604617463197502,0.7614709844115206,0.4630208333333333,1.5204749178470107,6.0663507109004735,4.331754572132563,6.584195519963946,0.1895734597156391,32.000000000000114,2.3663507109004733
8,125697867055812,125710670772433,1.3867769167386563,0.7400879436282186,0.4630208333333333,1.2496371540867766,5.058365758754863,11.441938101010518,7.172815508899801,0.15564202334630295,32.50000000000011,1.3583657587548625
9,125697942596965,125710731504333,1.389205251848759,0.7400879436282186,0.4640625,1.2510842044281825,2.109375,12.73262596857421,7.585863726701385,0.15625,13.5,1.5906250000000002
10,125698180904080,125712031015037,1.2744848045612018,0.7400879436282186,0.46380208333333334,1.1552254021411592,5.0359712230215825,17.06380787911726,8.290751871605151,0.14388489208633182,34.99999999999979,1.3359712230215823
11,125698203922288,125712053912895,1.2745030026409665,0.7400879436282186,0.46119791666666665,1.1552354405145482,7.509025270758123,22.936405655309354,8.50919936644714,0.21660649819494626,34.6666666666666,3.8090252707581227
12,125698378686573,125714519279614,1.134272020556533,0.7169925001442313,0.46067708333333335,0.9912894748883841,2.1052631578947367,35.03717995270765,9.073172542436629,0.061919504643962675,34.00000000000009,1.5947368421052635
