window_idx,window_t0_ns,window_t1_ns,cv,hist_entropy,hamming_norm,event_rate_hz,psd_peak_hz,psd_peak_power,psd_peak_snr_db,psd_peak_bandwidth_hz,psd_peak_q,psd_peak_hz_error_hz
0,125676861833601,125686911352843,0.9279716620242207,0.6646462857595241,0.4713541666666667,1.5921159624364047,3.5820895522388057,24.693590576675856,7.124530551418716,0.1990049751243781,18.0,0.11791044776119453
1,125678434498142,125688775894264,0.9509713689753571,0.7013781191217037,0.47317708333333336,1.547179878929697,7.53623188405797,19.33338870489726,6.105927659477409,0.1932367149758445,39.00000000000018,3.8362318840579697
2,125680063392268,125689297377656,0.9786805113677887,0.7280447857883704,0.471875,1.7327296208192786,0.7567567567567568,18.718133784500488,8.380949528422539,0.10810810810810811,7.0,2.943243243243243
3,125680300568436,125689864333417,0.9310632043406122,0.7280447857883704,0.4708333333333333,1.6729813030523695,0.7291666666666666,20.652303395058773,6.4782766120473445,0.20833333333333326,3.500000000000001,2.9708333333333337
4,125680333497703,125690130795633,0.8872890004074877,0.7280447857883704,0.47630208333333335,1.6331033428111743,0.7142857142857142,19.15457385745622,7.658331627078729,0.10204081632653061,6.999999999999999,2.9857142857142858
5,125680511202363,125690417808494,0.8687974757998677,0.7013781191217038,0.4765625,1.61508389335601,0.7035175879396984,18.854524550735427,7.8826688126807,0.3015075376884422,2.3333333333333335,2.9964824120603017
6,125680954397910,125691258951450,0.832968502011727,0.6646462857595241,0.4786458333333333,1.5527116180134863,2.125603864734299,20.79297321553441,8.2127704713654,0.09661835748792269,22.0,1.574396135265701
7,125681739894556,125691281660646,0.9373003142098759,0.6364011629520426,0.4856770833333333,1.6768384226865907,2.0942408376963346,22.744343719553637,8.473466647381711,0.10471204188481709,19.999999999999932,1.6057591623036656
8,125681779831646,125691785551965,0.8616223723344035,0.6364011629520426,0.48463541666666665,1.5990852722134736,2.08955223880597,25.24426383924095,8.592900137525689,0.09950248756218905,21.0,1.6104477611940302
9,125682052552805,125692000502372,0.8711749374424677,0.6649725915234711,0.48489583333333336,1.6083716440497713,2.1105527638190953,24.69112477593595,7.341342211894392,0.10050251256281406,21.0,1.5894472361809049
10,125682956912927,125692614953624,0.8914123447456759,0.675756698697235,0.48046875,1.6566507122888756,2.0618556701030926,18.865913030275085,7.275244595791866,0.2061855670103092,10.000000000000002,1.6381443298969076
11,125684561739999,125694976250303,0.9889089936943067,0.6477802513205262,0.4825520833333333,1.536318034449947,3.636363636363636,44.11244243061155,10.070552649089619,0.19138755980861255,18.999999999999986,0.06363636363636438
12,125685903954300,125695157423626,1.0920179204968292,0.6477802513205262,0.4828125,1.7290812166031486,3.655913978494623,38.21668444444133,8.689703114428637,0.10752688172043001,34.00000000000002,0.044086021505377104
13,125685946497609,125695437266578,1.0461152564267258,0.6170110205512954,0.4859375,1.6858486443260083,3.6842105263157894,54.617915189463865,9.24229853385722,0.10526315789473717,34.99999999999989,0.015789473684210797
