t_ns,attempts_total,attempts_per_s
125773955848236,289029,289029
125774955848017,701234,412205
125775955848314,1115153,413919
125776955848348,1523416,408263
125777955848154,1900460,377044
125778955847814,2282206,381746
125779955848536,2686108,403902
125780955847522,3103130,417022
125781955848553,3506661,403531
125782955848011,3921960,415299
125783955849519,4329269,407309
125784955848003,4739830,410561
125785955848355,5157501,417671
125786955849255,5574290,416789
125787955847466,5989262,414972
125788955848736,6401151,411889
125789955847990,6800118,398967
125790955848753,7206687,406569
125791955847609,7590703,384016
