t_ns,delta_s
1766785519136253952,29.513659904
1766785548520826624,29.384572672
1766785553359247360,4.838420736000001
1766785563465998336,10.106750976
1766785571344388608,7.878390272000001
1766785577285061888,5.94067328
1766785582802505472,5.5174435840000005
1766785595920221440,13.117715968
1766785621363158272,25.442936832
1766785638849014528,17.485856256
1766785644568967936,5.719953408
1766785648563575040,3.9946071040000004
1766785688467760896,39.904185856000005
1766785692164704512,3.6969436160000004
